site_id,month,dispenses,shortages,recovery_days,study_code
SITE-019,2025-10,5,0,2,BLZ-137
SITE-020,2025-04,10,0,1,BLZ-137
SITE-020,2025-05,29,0,1,BLZ-137
SITE-020,2025-06,44,0,1,BLZ-137
SITE-020,2025-07,48,0,1,BLZ-137
SITE-020,2025-08,32,0,2,BLZ-137
SITE-020,2025-09,17,0,1,BLZ-137
SITE-020,2025-10,8,0,1,BLZ-137
SITE-021,2025-04,12,0,2,BLZ-137
SITE-021,2025-05,23,0,1,BLZ-137
SITE-021,2025-06,41,0,0,BLZ-137
SITE-021,2025-07,50,0,1,BLZ-137
SITE-021,2025-08,29,0,1,BLZ-137
SITE-021,2025-09,18,0,1,BLZ-137
SITE-021,2025-10,3,0,1,BLZ-137
SITE-022,2025-04,17,0,1,BLZ-137
SITE-022,2025-05,29,0,2,BLZ-137
SITE-022,2025-06,28,0,0,BLZ-137
SITE-022,2025-07,46,0,2,BLZ-137
SITE-022,2025-08,33,0,1,BLZ-137
SITE-022,2025-09,15,0,1,BLZ-137
SITE-022,2025-10,9,0,1,BLZ-137
SITE-023,2025-04,12,0,1,BLZ-137
SITE-023,2025-05,24,0,2,BLZ-137
SITE-023,2025-06,32,0,0,BLZ-137
SITE-023,2025-07,52,0,1,BLZ-137
SITE-023,2025-08,32,0,0,BLZ-137
SITE-023,2025-09,21,0,0,BLZ-137
SITE-023,2025-10,11,0,1,BLZ-137
SITE-024,2025-04,10,0,0,BLZ-137
SITE-024,2025-05,27,0,2,BLZ-137
SITE-024,2025-06,46,0,2,BLZ-137
SITE-024,2025-07,49,0,2,BLZ-137
SITE-024,2025-08,33,0,0,BLZ-137
SITE-024,2025-09,18,0,0,BLZ-137
SITE-024,2025-10,6,0,1,BLZ-137
SITE-025,2025-04,11,0,2,BLZ-137
SITE-025,2025-05,27,0,0,BLZ-137
SITE-025,2025-06,38,0,0,BLZ-137
SITE-025,2025-07,42,0,2,BLZ-137
SITE-025,2025-08,32,0,0,BLZ-137
SITE-025,2025-09,16,0,2,BLZ-137
SITE-025,2025-10,7,0,0,BLZ-137
SITE-026,2025-04,7,0,0,BLZ-137
SITE-026,2025-05,21,0,0,BLZ-137
SITE-026,2025-06,32,0,2,BLZ-137
SITE-026,2025-07,46,0,2,BLZ-137
SITE-026,2025-08,36,0,1,BLZ-137
SITE-026,2025-09,18,0,1,BLZ-137
SITE-026,2025-10,10,0,2,BLZ-137
SITE-027,2025-04,20,0,0,BLZ-137
SITE-027,2025-05,36,0,2,BLZ-137
SITE-027,2025-06,37,0,2,BLZ-137
SITE-027,2025-07,43,0,1,BLZ-137
SITE-027,2025-08,28,0,2,BLZ-137
SITE-027,2025-09,10,0,1,BLZ-137
SITE-027,2025-10,4,0,1,BLZ-137
SITE-028,2025-04,9,0,1,BLZ-137
SITE-028,2025-05,28,0,2,BLZ-137
SITE-028,2025-06,50,0,1,BLZ-137
SITE-028,2025-07,46,0,0,BLZ-137
SITE-028,2025-08,33,0,0,BLZ-137
SITE-028,2025-09,14,0,2,BLZ-137
SITE-028,2025-10,5,0,5,BLZ-137
SITE-029,2025-04,14,0,2,BLZ-137
SITE-029,2025-05,21,0,1,BLZ-137
SITE-029,2025-06,40,0,2,BLZ-137
SITE-029,2025-07,48,0,0,BLZ-137
SITE-029,2025-08,30,0,1,BLZ-137
SITE-029,2025-09,18,0,2,BLZ-137
SITE-029,2025-10,6,0,1,BLZ-137
SITE-030,2025-04,11,0,1,BLZ-137
SITE-030,2025-05,19,0,0,BLZ-137
SITE-030,2025-06,35,0,2,BLZ-137
SITE-030,2025-07,60,0,0,BLZ-137
SITE-030,2025-08,35,0,0,BLZ-137
SITE-030,2025-09,21,0,2,BLZ-137
SITE-030,2025-10,6,0,1,BLZ-137
SITE-031,2025-04,12,0,1,BLZ-137
SITE-031,2025-05,36,0,1,BLZ-137
SITE-031,2025-06,39,0,1,BLZ-137
SITE-031,2025-07,49,0,2,BLZ-137
SITE-031,2025-08,29,0,1,BLZ-137
SITE-031,2025-09,15,0,1,BLZ-137
SITE-031,2025-10,5,0,3,BLZ-137
SITE-032,2025-04,18,0,2,BLZ-137
SITE-032,2025-05,28,0,0,BLZ-137
SITE-032,2025-06,41,0,0,BLZ-137
SITE-032,2025-07,43,0,2,BLZ-137
SITE-032,2025-08,29,0,2,BLZ-137
SITE-032,2025-09,18,0,1,BLZ-137
SITE-032,2025-10,6,0,0,BLZ-137
SITE-033,2025-04,9,0,1,BLZ-137
SITE-033,2025-05,30,0,0,BLZ-137
SITE-033,2025-06,45,0,2,BLZ-137
SITE-033,2025-07,48,0,0,BLZ-137
SITE-033,2025-08,36,0,1,BLZ-137
SITE-033,2025-09,16,0,2,BLZ-137
SITE-033,2025-10,5,0,1,BLZ-137
SITE-034,2025-04,10,1,0,BLZ-137
SITE-034,2025-05,26,1,1,BLZ-137
SITE-034,2025-06,49,1,1,BLZ-137
SITE-034,2025-07,50,1,1,BLZ-137
SITE-034,2025-08,30,0,1,BLZ-137
SITE-034,2025-09,16,0,0,BLZ-137
SITE-034,2025-10,3,0,1,BLZ-137
SITE-035,2025-04,22,0,2,BLZ-137
SITE-035,2025-05,38,1,0,BLZ-137
SITE-035,2025-06,42,1,1,BLZ-137
SITE-035,2025-07,50,1,2,BLZ-137
SITE-035,2025-08,26,1,0,BLZ-137
SITE-035,2025-09,11,0,1,BLZ-137
SITE-035,2025-10,3,0,1,BLZ-137
SITE-036,2025-04,18,0,2,BLZ-137
SITE-036,2025-05,31,0,1,BLZ-137
SITE-036,2025-06,34,0,2,BLZ-137
SITE-036,2025-07,47,0,0,BLZ-137
SITE-036,2025-08,30,0,0,BLZ-137
SITE-036,2025-09,16,0,1,BLZ-137
SITE-036,2025-10,5,0,1,BLZ-137
SITE-037,2025-04,13,0,3,BLZ-137
SITE-037,2025-05,30,0,1,BLZ-137
SITE-037,2025-06,46,0,2,BLZ-137
SITE-037,2025-07,43,0,1,BLZ-137
SITE-037,2025-08,31,0,1,BLZ-137
SITE-037,2025-09,13,0,2,BLZ-137
SITE-037,2025-10,5,0,2,BLZ-137
SITE-038,2025-04,13,0,0,BLZ-137
SITE-038,2025-05,26,0,0,BLZ-137
SITE-038,2025-06,35,0,1,BLZ-137
SITE-038,2025-07,48,0,1,BLZ-137
SITE-038,2025-08,35,0,1,BLZ-137
SITE-038,2025-09,20,0,0,BLZ-137
SITE-038,2025-10,10,0,0,BLZ-137
SITE-039,2025-04,19,0,1,BLZ-137
SITE-039,2025-05,33,0,0,BLZ-137
SITE-039,2025-06,44,1,0,BLZ-137
SITE-039,2025-07,44,0,2,BLZ-137
SITE-039,2025-08,30,0,1,BLZ-137
SITE-039,2025-09,14,0,1,BLZ-137
SITE-039,2025-10,8,0,0,BLZ-137
SITE-040,2025-04,9,0,0,BLZ-137
SITE-040,2025-05,22,0,0,BLZ-137
SITE-040,2025-06,39,0,2,BLZ-137
SITE-040,2025-07,48,0,1,BLZ-137
SITE-040,2025-08,31,0,0,BLZ-137
SITE-040,2025-09,17,0,1,BLZ-137
SITE-040,2025-10,9,0,0,BLZ-137
SITE-041,2025-04,20,0,2,BLZ-137
SITE-041,2025-05,25,0,2,BLZ-137
SITE-041,2025-06,40,0,2,BLZ-137
SITE-041,2025-07,39,0,0,BLZ-137
SITE-041,2025-08,32,0,0,BLZ-137
SITE-041,2025-09,14,0,1,BLZ-137
SITE-041,2025-10,6,0,1,BLZ-137
SITE-042,2025-04,18,0,0,BLZ-137
SITE-042,2025-05,30,0,2,BLZ-137
SITE-042,2025-06,28,0,0,BLZ-137
SITE-042,2025-07,44,0,2,BLZ-137
SITE-042,2025-08,28,0,2,BLZ-137
SITE-042,2025-09,14,0,0,BLZ-137
SITE-042,2025-10,7,0,2,BLZ-137
SITE-043,2025-04,18,0,1,BLZ-137
SITE-043,2025-05,33,0,1,BLZ-137
SITE-043,2025-06,47,0,1,BLZ-137
SITE-043,2025-07,46,0,0,BLZ-137
SITE-043,2025-08,30,0,2,BLZ-137
SITE-043,2025-09,14,0,0,BLZ-137
SITE-043,2025-10,3,0,2,BLZ-137
SITE-044,2025-04,18,0,0,BLZ-137
SITE-044,2025-05,32,0,0,BLZ-137
SITE-044,2025-06,42,0,1,BLZ-137
SITE-044,2025-07,48,0,0,BLZ-137
SITE-044,2025-08,27,0,1,BLZ-137
SITE-044,2025-09,15,0,0,BLZ-137
SITE-044,2025-10,2,0,2,BLZ-137
SITE-045,2025-04,18,0,1,BLZ-137
SITE-045,2025-05,27,0,1,BLZ-137
SITE-045,2025-06,46,0,0,BLZ-137
SITE-045,2025-07,49,0,2,BLZ-137
SITE-045,2025-08,28,0,1,BLZ-137
SITE-045,2025-09,13,0,1,BLZ-137
SITE-045,2025-10,3,0,1,BLZ-137
SITE-046,2025-04,19,0,0,BLZ-137
SITE-046,2025-05,28,0,0,BLZ-137
SITE-046,2025-06,47,0,2,BLZ-137
SITE-046,2025-07,47,0,2,BLZ-137
SITE-046,2025-08,31,0,2,BLZ-137
SITE-046,2025-09,17,0,1,BLZ-137
SITE-046,2025-10,6,0,0,BLZ-137
SITE-047,2025-04,21,0,1,BLZ-137
SITE-047,2025-05,39,0,2,BLZ-137
SITE-047,2025-06,32,0,0,BLZ-137
SITE-047,2025-07,46,0,0,BLZ-137
SITE-047,2025-08,21,0,1,BLZ-137
SITE-047,2025-09,12,0,1,BLZ-137
SITE-047,2025-10,6,0,1,BLZ-137
SITE-048,2025-04,17,0,0,BLZ-137
SITE-048,2025-05,43,0,0,BLZ-137
SITE-048,2025-06,38,0,2,BLZ-137
SITE-048,2025-07,48,0,0,BLZ-137
SITE-048,2025-08,23,0,0,BLZ-137
SITE-048,2025-09,13,0,2,BLZ-137
SITE-048,2025-10,6,0,2,BLZ-137
SITE-049,2025-04,23,0,2,BLZ-137
SITE-049,2025-05,30,0,0,BLZ-137
SITE-049,2025-06,36,0,2,BLZ-137
SITE-049,2025-07,45,0,1,BLZ-137
SITE-049,2025-08,27,0,2,BLZ-137
SITE-049,2025-09,15,0,0,BLZ-137
SITE-049,2025-10,3,0,1,BLZ-137
SITE-050,2025-04,20,0,1,BLZ-137
SITE-050,2025-05,28,0,1,BLZ-137
SITE-050,2025-06,43,0,1,BLZ-137
SITE-050,2025-07,43,0,0,BLZ-137
SITE-050,2025-08,31,0,1,BLZ-137
SITE-050,2025-09,16,0,1,BLZ-137
SITE-050,2025-10,7,0,2,BLZ-137
SITE-051,2025-04,12,0,1,BLZ-137
SITE-051,2025-05,30,0,1,BLZ-137
SITE-051,2025-06,48,0,2,BLZ-137
SITE-051,2025-07,43,0,2,BLZ-137
SITE-051,2025-08,28,0,2,BLZ-137
SITE-051,2025-09,16,0,2,BLZ-137
SITE-051,2025-10,4,0,0,BLZ-137
SITE-052,2025-04,11,0,1,BLZ-137
SITE-052,2025-05,24,0,2,BLZ-137
SITE-052,2025-06,39,0,2,BLZ-137
SITE-052,2025-07,54,0,2,BLZ-137
SITE-052,2025-08,34,0,1,BLZ-137
SITE-052,2025-09,17,0,0,BLZ-137
SITE-052,2025-10,5,0,1,BLZ-137
SITE-053,2025-04,11,0,2,BLZ-137
SITE-053,2025-05,29,0,1,BLZ-137
SITE-053,2025-06,41,0,2,BLZ-137
SITE-053,2025-07,45,0,0,BLZ-137
SITE-053,2025-08,20,0,2,BLZ-137
SITE-053,2025-09,10,0,0,BLZ-137
SITE-053,2025-10,3,0,1,BLZ-137
SITE-054,2025-04,12,0,2,BLZ-137
SITE-054,2025-05,18,0,2,BLZ-137
SITE-054,2025-06,34,0,0,BLZ-137
SITE-054,2025-07,46,0,2,BLZ-137
SITE-054,2025-08,31,0,0,BLZ-137
SITE-054,2025-09,20,0,2,BLZ-137
SITE-054,2025-10,10,0,2,BLZ-137
SITE-055,2025-04,14,0,2,BLZ-137
SITE-055,2025-05,37,0,1,BLZ-137
SITE-055,2025-06,39,0,2,BLZ-137
SITE-055,2025-07,48,0,1,BLZ-137
SITE-055,2025-08,23,0,2,BLZ-137
SITE-055,2025-09,15,0,2,BLZ-137
SITE-055,2025-10,4,0,1,BLZ-137
SITE-056,2025-04,12,0,1,BLZ-137
SITE-056,2025-05,34,0,2,BLZ-137
SITE-056,2025-06,39,0,2,BLZ-137
SITE-056,2025-07,48,0,1,BLZ-137
SITE-056,2025-08,30,0,1,BLZ-137
SITE-056,2025-09,17,0,1,BLZ-137
SITE-056,2025-10,10,0,0,BLZ-137
SITE-057,2025-04,21,0,0,BLZ-137
SITE-057,2025-05,39,0,0,BLZ-137
SITE-057,2025-06,35,0,2,BLZ-137
SITE-057,2025-07,40,0,0,BLZ-137
SITE-057,2025-08,29,0,0,BLZ-137
SITE-057,2025-09,14,0,0,BLZ-137
SITE-057,2025-10,5,0,1,BLZ-137
SITE-058,2025-04,15,0,0,BLZ-137
SITE-058,2025-05,25,0,1,BLZ-137
SITE-058,2025-06,36,0,2,BLZ-137
SITE-058,2025-07,51,0,1,BLZ-137
SITE-058,2025-08,32,0,0,BLZ-137
SITE-058,2025-09,18,0,0,BLZ-137
SITE-058,2025-10,10,0,1,BLZ-137
SITE-059,2025-04,12,0,2,BLZ-137
SITE-059,2025-05,24,0,1,BLZ-137
SITE-059,2025-06,33,0,0,BLZ-137
SITE-059,2025-07,47,0,0,BLZ-137
SITE-059,2025-08,38,0,0,BLZ-137
SITE-059,2025-09,20,0,0,BLZ-137
SITE-059,2025-10,8,0,1,BLZ-137
SITE-060,2025-04,14,0,0,BLZ-137
SITE-060,2025-05,34,0,2,BLZ-137
SITE-060,2025-06,46,0,2,BLZ-137
SITE-060,2025-07,42,0,2,BLZ-137
SITE-060,2025-08,26,0,2,BLZ-137
SITE-060,2025-09,13,0,0,BLZ-137
SITE-060,2025-10,5,0,1,BLZ-137
