shipment_id,to_site,site_id,route_key,supplier_id,dispatch_dt,eta_dt,lead_days,delay_days,status,study_code,month
SHP-003-3,SITE-003,SITE-003,IN->IN,SPLR-C,2025-09-09,2025-09-18,9,2.0,Quarantined,BLZ-137,2025-09
SHP-003-3,SITE-003,SITE-003,IN->IN,SPLR-C,2025-09-29,2025-10-09,10,3.0,Quarantined,BLZ-137,2025-09
SHP-003-3,SITE-003,SITE-003,IN->IN,SPLR-C,2025-10-01,2025-10-14,13,6.0,Quarantined,BLZ-137,2025-10
SHP-004-1,SITE-004,SITE-004,DE->FR,SPLR-B,2025-07-12,2025-07-20,8,1.0,Quarantined,BLZ-137,2025-07
SHP-004-1,SITE-004,SITE-004,DE->FR,SPLR-B,2025-07-28,2025-08-07,10,3.0,Quarantined,BLZ-137,2025-07
SHP-004-1,SITE-004,SITE-004,DE->FR,SPLR-B,2025-07-24,2025-07-31,7,0.0,Quarantined,BLZ-137,2025-07
SHP-004-2,SITE-004,SITE-004,DE->FR,SPLR-B,2025-08-07,2025-08-17,10,3.0,Delivered,BLZ-137,2025-08
SHP-004-2,SITE-004,SITE-004,DE->FR,SPLR-B,2025-08-08,2025-08-15,7,0.0,Delivered,BLZ-137,2025-08
SHP-004-2,SITE-004,SITE-004,DE->FR,SPLR-B,2025-07-25,2025-08-07,13,6.0,Delivered,BLZ-137,2025-07
SHP-004-3,SITE-004,SITE-004,DE->FR,SPLR-B,2025-09-16,2025-09-24,8,1.0,Quarantined,BLZ-137,2025-09
SHP-004-3,SITE-004,SITE-004,DE->FR,SPLR-B,2025-09-28,2025-10-10,12,5.0,Quarantined,BLZ-137,2025-09
SHP-004-3,SITE-004,SITE-004,DE->FR,SPLR-B,2025-09-26,2025-10-04,8,1.0,Quarantined,BLZ-137,2025-09
SHP-005-1,SITE-005,SITE-005,US->US,SPLR-A,2025-07-15,2025-07-28,13,6.0,Quarantined,BLZ-137,2025-07
SHP-005-1,SITE-005,SITE-005,US->US,SPLR-A,2025-08-01,2025-08-06,5,-2.0,Quarantined,BLZ-137,2025-08
SHP-005-1,SITE-005,SITE-005,US->US,SPLR-A,2025-07-27,2025-08-05,9,2.0,Quarantined,BLZ-137,2025-07
SHP-005-2,SITE-005,SITE-005,US->US,SPLR-A,2025-08-08,2025-08-16,8,1.0,Quarantined,BLZ-137,2025-08
SHP-005-2,SITE-005,SITE-005,US->US,SPLR-A,2025-08-17,2025-08-29,12,5.0,Quarantined,BLZ-137,2025-08
SHP-005-2,SITE-005,SITE-005,US->US,SPLR-A,2025-07-17,2025-07-29,12,5.0,Quarantined,BLZ-137,2025-07
SHP-005-3,SITE-005,SITE-005,US->US,SPLR-A,2025-10-11,2025-10-18,7,0.0,Quarantined,BLZ-137,2025-10
SHP-005-3,SITE-005,SITE-005,US->US,SPLR-A,2025-09-27,2025-10-03,6,-1.0,Quarantined,BLZ-137,2025-09
SHP-005-3,SITE-005,SITE-005,US->US,SPLR-A,2025-09-30,2025-10-11,11,4.0,Quarantined,BLZ-137,2025-09
SHP-006-1,SITE-006,SITE-006,DE->GB,SPLR-B,2025-08-04,2025-08-10,6,-1.0,Quarantined,BLZ-137,2025-08
SHP-006-1,SITE-006,SITE-006,DE->GB,SPLR-B,2025-07-21,2025-07-31,10,3.0,Quarantined,BLZ-137,2025-07
SHP-006-1,SITE-006,SITE-006,DE->GB,SPLR-B,2025-07-18,2025-07-23,5,-2.0,Quarantined,BLZ-137,2025-07
SHP-006-2,SITE-006,SITE-006,DE->GB,SPLR-B,2025-08-13,2025-08-21,8,1.0,Quarantined,BLZ-137,2025-08
SHP-006-2,SITE-006,SITE-006,DE->GB,SPLR-B,2025-08-20,2025-08-29,9,2.0,Quarantined,BLZ-137,2025-08
SHP-006-2,SITE-006,SITE-006,DE->GB,SPLR-B,2025-07-25,2025-08-02,8,1.0,Quarantined,BLZ-137,2025-07
SHP-006-3,SITE-006,SITE-006,DE->GB,SPLR-B,2025-10-15,2025-10-21,6,-1.0,Delivered,BLZ-137,2025-10
SHP-006-3,SITE-006,SITE-006,DE->GB,SPLR-B,2025-09-21,2025-10-02,11,4.0,Delivered,BLZ-137,2025-09
SHP-006-3,SITE-006,SITE-006,DE->GB,SPLR-B,2025-10-09,2025-10-22,13,6.0,Delivered,BLZ-137,2025-10
SHP-007-1,SITE-007,SITE-007,US->US,SPLR-A,2025-07-23,2025-08-04,12,5.0,Quarantined,BLZ-137,2025-07
SHP-007-1,SITE-007,SITE-007,US->US,SPLR-A,2025-07-18,2025-07-26,8,1.0,Quarantined,BLZ-137,2025-07
SHP-007-1,SITE-007,SITE-007,US->US,SPLR-A,2025-07-11,2025-07-23,12,5.0,Quarantined,BLZ-137,2025-07
SHP-007-2,SITE-007,SITE-007,US->US,SPLR-A,2025-08-08,2025-08-18,10,3.0,Quarantined,BLZ-137,2025-08
SHP-007-2,SITE-007,SITE-007,US->US,SPLR-A,2025-08-16,2025-08-27,11,4.0,Quarantined,BLZ-137,2025-08
SHP-007-2,SITE-007,SITE-007,US->US,SPLR-A,2025-08-06,2025-08-15,9,2.0,Quarantined,BLZ-137,2025-08
SHP-007-3,SITE-007,SITE-007,US->US,SPLR-A,2025-10-05,2025-10-13,8,1.0,Quarantined,BLZ-137,2025-10
SHP-007-3,SITE-007,SITE-007,US->US,SPLR-A,2025-09-24,2025-09-30,6,-1.0,Quarantined,BLZ-137,2025-09
SHP-007-3,SITE-007,SITE-007,US->US,SPLR-A,2025-08-24,2025-09-06,13,6.0,Quarantined,BLZ-137,2025-08
SHP-008-1,SITE-008,SITE-008,US->CA,SPLR-A,2025-07-18,2025-07-24,6,-1.0,Delivered,BLZ-137,2025-07
SHP-008-1,SITE-008,SITE-008,US->CA,SPLR-A,2025-07-08,2025-07-14,6,-1.0,Delivered,BLZ-137,2025-07
SHP-008-1,SITE-008,SITE-008,US->CA,SPLR-A,2025-07-20,2025-07-25,5,-2.0,In Transit,BLZ-137,2025-07
SHP-008-2,SITE-008,SITE-008,US->CA,SPLR-A,2025-07-29,2025-08-04,6,-1.0,Quarantined,BLZ-137,2025-07
SHP-008-2,SITE-008,SITE-008,US->CA,SPLR-A,2025-08-07,2025-08-18,11,4.0,Quarantined,BLZ-137,2025-08
SHP-008-2,SITE-008,SITE-008,US->CA,SPLR-A,2025-07-12,2025-07-18,6,-1.0,Quarantined,BLZ-137,2025-07
SHP-008-3,SITE-008,SITE-008,US->CA,SPLR-A,2025-09-25,2025-09-30,5,-2.0,Quarantined,BLZ-137,2025-09
SHP-008-3,SITE-008,SITE-008,US->CA,SPLR-A,2025-09-10,2025-09-19,9,2.0,Quarantined,BLZ-137,2025-09
SHP-009-1,SITE-009,SITE-009,IN->IN,SPLR-C,2025-07-15,2025-07-27,12,5.0,Quarantined,BLZ-137,2025-07
SHP-009-1,SITE-009,SITE-009,IN->IN,SPLR-C,2025-07-05,2025-07-14,9,2.0,Quarantined,BLZ-137,2025-07
SHP-009-1,SITE-009,SITE-009,IN->IN,SPLR-C,2025-07-05,2025-07-18,13,6.0,Quarantined,BLZ-137,2025-07
SHP-009-2,SITE-009,SITE-009,IN->IN,SPLR-C,2025-07-19,2025-07-24,5,-2.0,Quarantined,BLZ-137,2025-07
SHP-009-2,SITE-009,SITE-009,IN->IN,SPLR-C,2025-08-05,2025-08-12,7,0.0,Quarantined,BLZ-137,2025-08
SHP-009-2,SITE-009,SITE-009,IN->IN,SPLR-C,2025-07-31,2025-08-07,7,0.0,Quarantined,BLZ-137,2025-07
SHP-009-3,SITE-009,SITE-009,IN->IN,SPLR-C,2025-09-24,2025-10-05,11,4.0,Quarantined,BLZ-137,2025-09
SHP-009-3,SITE-009,SITE-009,IN->IN,SPLR-C,2025-09-13,2025-09-19,6,-1.0,Quarantined,BLZ-137,2025-09
SHP-009-3,SITE-009,SITE-009,IN->IN,SPLR-C,2025-10-07,2025-10-12,5,-2.0,Quarantined,BLZ-137,2025-10
SHP-010-1,SITE-010,SITE-010,JP->AU,SPLR-D,2025-07-15,2025-07-23,8,1.0,Quarantined,BLZ-137,2025-07
SHP-010-1,SITE-010,SITE-010,JP->AU,SPLR-D,2025-07-18,2025-07-27,9,2.0,Quarantined,BLZ-137,2025-07
SHP-010-1,SITE-010,SITE-010,JP->AU,SPLR-D,2025-08-01,2025-08-06,5,-2.0,Quarantined,BLZ-137,2025-08
SHP-010-2,SITE-010,SITE-010,JP->AU,SPLR-D,2025-07-31,2025-08-10,10,3.0,Quarantined,BLZ-137,2025-07
SHP-010-2,SITE-010,SITE-010,JP->AU,SPLR-D,2025-08-08,2025-08-13,5,-2.0,Quarantined,BLZ-137,2025-08
SHP-010-2,SITE-010,SITE-010,JP->AU,SPLR-D,2025-08-17,2025-08-27,10,3.0,Quarantined,BLZ-137,2025-08
SHP-010-3,SITE-010,SITE-010,JP->AU,SPLR-D,2025-10-05,2025-10-10,5,-2.0,Quarantined,BLZ-137,2025-10
SHP-010-3,SITE-010,SITE-010,JP->AU,SPLR-D,2025-10-07,2025-10-15,8,1.0,Quarantined,BLZ-137,2025-10
SHP-010-3,SITE-010,SITE-010,JP->AU,SPLR-D,2025-10-07,2025-10-20,13,6.0,Quarantined,BLZ-137,2025-10
SHP-011-1,SITE-011,SITE-011,US->US,SPLR-A,2025-07-28,2025-08-07,10,3.0,Delivered,BLZ-137,2025-07
SHP-011-1,SITE-011,SITE-011,US->US,SPLR-A,2025-07-09,2025-07-20,11,4.0,In Transit,BLZ-137,2025-07
SHP-011-1,SITE-011,SITE-011,US->US,SPLR-A,2025-07-13,2025-07-26,13,6.0,Delivered,BLZ-137,2025-07
SHP-011-2,SITE-011,SITE-011,US->US,SPLR-A,2025-07-28,2025-08-04,7,0.0,Quarantined,BLZ-137,2025-07
SHP-011-2,SITE-011,SITE-011,US->US,SPLR-A,2025-06-26,2025-07-07,11,4.0,Quarantined,BLZ-137,2025-06
SHP-011-2,SITE-011,SITE-011,US->US,SPLR-A,2025-07-25,2025-08-03,9,2.0,Quarantined,BLZ-137,2025-07
SHP-011-3,SITE-011,SITE-011,US->US,SPLR-A,2025-09-22,2025-10-03,11,4.0,Delivered,BLZ-137,2025-09
SHP-011-3,SITE-011,SITE-011,US->US,SPLR-A,2025-09-24,2025-09-30,6,-1.0,Delivered,BLZ-137,2025-09
SHP-011-3,SITE-011,SITE-011,US->US,SPLR-A,2025-10-04,2025-10-15,11,4.0,Delivered,BLZ-137,2025-10
SHP-012-1,SITE-012,SITE-012,DE->ES,SPLR-B,2025-07-31,2025-08-12,12,5.0,Delivered,BLZ-137,2025-07
SHP-012-1,SITE-012,SITE-012,DE->ES,SPLR-B,2025-07-17,2025-07-22,5,-2.0,In Transit,BLZ-137,2025-07
SHP-012-1,SITE-012,SITE-012,DE->ES,SPLR-B,2025-07-09,2025-07-18,9,2.0,Delivered,BLZ-137,2025-07
SHP-012-2,SITE-012,SITE-012,DE->ES,SPLR-B,2025-08-02,2025-08-09,7,0.0,Quarantined,BLZ-137,2025-08
SHP-012-2,SITE-012,SITE-012,DE->ES,SPLR-B,2025-07-15,2025-07-20,5,-2.0,Quarantined,BLZ-137,2025-07
SHP-012-2,SITE-012,SITE-012,DE->ES,SPLR-B,2025-07-03,2025-07-10,7,0.0,Quarantined,BLZ-137,2025-07
SHP-012-3,SITE-012,SITE-012,DE->ES,SPLR-B,2025-10-05,2025-10-17,12,5.0,Delivered,BLZ-137,2025-10
SHP-012-3,SITE-012,SITE-012,DE->ES,SPLR-B,2025-08-23,2025-08-29,6,-1.0,Delivered,BLZ-137,2025-08
SHP-012-3,SITE-012,SITE-012,DE->ES,SPLR-B,2025-09-13,2025-09-24,11,4.0,In Transit,BLZ-137,2025-09
SHP-013-1,SITE-013,SITE-013,IN->IN,SPLR-C,2025-06-30,2025-07-11,11,4.0,Quarantined,BLZ-137,2025-06
SHP-013-1,SITE-013,SITE-013,IN->IN,SPLR-C,2025-08-01,2025-08-12,11,4.0,Quarantined,BLZ-137,2025-08
SHP-013-1,SITE-013,SITE-013,IN->IN,SPLR-C,2025-07-26,2025-08-01,6,-1.0,Quarantined,BLZ-137,2025-07
SHP-013-2,SITE-013,SITE-013,IN->IN,SPLR-C,2025-08-02,2025-08-09,7,0.0,Quarantined,BLZ-137,2025-08
SHP-013-2,SITE-013,SITE-013,IN->IN,SPLR-C,2025-07-24,2025-08-04,11,4.0,Quarantined,BLZ-137,2025-07
SHP-013-2,SITE-013,SITE-013,IN->IN,SPLR-C,2025-08-02,2025-08-13,11,4.0,Quarantined,BLZ-137,2025-08
SHP-013-3,SITE-013,SITE-013,IN->IN,SPLR-C,2025-09-11,2025-09-21,10,3.0,Quarantined,BLZ-137,2025-09
SHP-013-3,SITE-013,SITE-013,IN->IN,SPLR-C,2025-09-21,2025-10-02,11,4.0,Quarantined,BLZ-137,2025-09
SHP-013-3,SITE-013,SITE-013,IN->IN,SPLR-C,2025-10-08,2025-10-20,12,5.0,Quarantined,BLZ-137,2025-10
SHP-014-1,SITE-014,SITE-014,DE->DE,SPLR-B,2025-07-10,2025-07-16,6,-1.0,Quarantined,BLZ-137,2025-07
SHP-014-1,SITE-014,SITE-014,DE->DE,SPLR-B,2025-07-18,2025-07-24,6,-1.0,Quarantined,BLZ-137,2025-07
SHP-014-1,SITE-014,SITE-014,DE->DE,SPLR-B,2025-07-31,2025-08-11,11,4.0,Quarantined,BLZ-137,2025-07
SHP-014-2,SITE-014,SITE-014,DE->DE,SPLR-B,2025-07-30,2025-08-08,9,2.0,Quarantined,BLZ-137,2025-07
SHP-014-2,SITE-014,SITE-014,DE->DE,SPLR-B,2025-08-09,2025-08-19,10,3.0,Quarantined,BLZ-137,2025-08
SHP-014-2,SITE-014,SITE-014,DE->DE,SPLR-B,2025-08-12,2025-08-23,11,4.0,Quarantined,BLZ-137,2025-08
SHP-014-3,SITE-014,SITE-014,DE->DE,SPLR-B,2025-10-13,2025-10-22,9,2.0,Quarantined,BLZ-137,2025-10
SHP-014-3,SITE-014,SITE-014,DE->DE,SPLR-B,2025-09-19,2025-10-02,13,6.0,Quarantined,BLZ-137,2025-09
SHP-014-3,SITE-014,SITE-014,DE->DE,SPLR-B,2025-09-01,2025-09-13,12,5.0,Quarantined,BLZ-137,2025-09
SHP-015-1,SITE-015,SITE-015,US->CA,SPLR-A,2025-07-30,2025-08-10,11,4.0,Quarantined,BLZ-137,2025-07
SHP-015-1,SITE-015,SITE-015,US->CA,SPLR-A,2025-07-07,2025-07-15,8,1.0,Quarantined,BLZ-137,2025-07
SHP-015-1,SITE-015,SITE-015,US->CA,SPLR-A,2025-07-12,2025-07-20,8,1.0,Quarantined,BLZ-137,2025-07
SHP-015-2,SITE-015,SITE-015,US->CA,SPLR-A,2025-07-23,2025-08-05,13,6.0,Quarantined,BLZ-137,2025-07
SHP-015-2,SITE-015,SITE-015,US->CA,SPLR-A,2025-08-08,2025-08-21,13,6.0,Quarantined,BLZ-137,2025-08
SHP-015-2,SITE-015,SITE-015,US->CA,SPLR-A,2025-08-10,2025-08-18,8,1.0,Quarantined,BLZ-137,2025-08
SHP-015-3,SITE-015,SITE-015,US->CA,SPLR-A,2025-10-02,2025-10-14,12,5.0,Quarantined,BLZ-137,2025-10
SHP-015-3,SITE-015,SITE-015,US->CA,SPLR-A,2025-10-04,2025-10-17,13,6.0,Quarantined,BLZ-137,2025-10
SHP-015-3,SITE-015,SITE-015,US->CA,SPLR-A,2025-10-02,2025-10-08,6,-1.0,Quarantined,BLZ-137,2025-10
SHP-016-1,SITE-016,SITE-016,DE->DE,SPLR-B,2025-07-25,2025-07-31,6,-1.0,Quarantined,BLZ-137,2025-07
SHP-016-1,SITE-016,SITE-016,DE->DE,SPLR-B,2025-07-21,2025-07-27,6,-1.0,Quarantined,BLZ-137,2025-07
SHP-016-1,SITE-016,SITE-016,DE->DE,SPLR-B,2025-08-02,2025-08-10,8,1.0,Quarantined,BLZ-137,2025-08
SHP-016-2,SITE-016,SITE-016,DE->DE,SPLR-B,2025-08-17,2025-08-26,9,2.0,Quarantined,BLZ-137,2025-08
SHP-016-2,SITE-016,SITE-016,DE->DE,SPLR-B,2025-08-07,2025-08-15,8,1.0,Quarantined,BLZ-137,2025-08
SHP-016-2,SITE-016,SITE-016,DE->DE,SPLR-B,2025-08-05,2025-08-14,9,2.0,Quarantined,BLZ-137,2025-08
SHP-016-3,SITE-016,SITE-016,DE->DE,SPLR-B,2025-09-26,2025-10-04,8,1.0,Quarantined,BLZ-137,2025-09
SHP-016-3,SITE-016,SITE-016,DE->DE,SPLR-B,2025-09-29,2025-10-07,8,1.0,Quarantined,BLZ-137,2025-09
SHP-016-3,SITE-016,SITE-016,DE->DE,SPLR-B,2025-09-20,2025-09-26,6,-1.0,Quarantined,BLZ-137,2025-09
SHP-017-1,SITE-017,SITE-017,DE->ZA,SPLR-B,2025-07-07,2025-07-20,13,6.0,Quarantined,BLZ-137,2025-07
SHP-017-1,SITE-017,SITE-017,DE->ZA,SPLR-B,2025-07-17,2025-07-25,8,1.0,Quarantined,BLZ-137,2025-07
SHP-017-1,SITE-017,SITE-017,DE->ZA,SPLR-B,2025-07-10,2025-07-16,6,-1.0,Quarantined,BLZ-137,2025-07
SHP-017-2,SITE-017,SITE-017,DE->ZA,SPLR-B,2025-07-31,2025-08-07,7,0.0,Quarantined,BLZ-137,2025-07
SHP-017-2,SITE-017,SITE-017,DE->ZA,SPLR-B,2025-07-12,2025-07-18,6,-1.0,Quarantined,BLZ-137,2025-07
SHP-017-2,SITE-017,SITE-017,DE->ZA,SPLR-B,2025-08-11,2025-08-16,5,-2.0,Quarantined,BLZ-137,2025-08
SHP-017-3,SITE-017,SITE-017,DE->ZA,SPLR-B,2025-09-21,2025-09-28,7,0.0,Quarantined,BLZ-137,2025-09
SHP-017-3,SITE-017,SITE-017,DE->ZA,SPLR-B,2025-10-03,2025-10-15,12,5.0,Quarantined,BLZ-137,2025-10
SHP-017-3,SITE-017,SITE-017,DE->ZA,SPLR-B,2025-09-07,2025-09-16,9,2.0,Quarantined,BLZ-137,2025-09
SHP-018-1,SITE-018,SITE-018,JP->JP,SPLR-D,2025-08-01,2025-08-06,5,-2.0,Quarantined,BLZ-137,2025-08
SHP-018-1,SITE-018,SITE-018,JP->JP,SPLR-D,2025-07-08,2025-07-20,12,5.0,Quarantined,BLZ-137,2025-07
SHP-018-1,SITE-018,SITE-018,JP->JP,SPLR-D,2025-06-28,2025-07-08,10,3.0,Quarantined,BLZ-137,2025-06
SHP-018-2,SITE-018,SITE-018,JP->JP,SPLR-D,2025-08-07,2025-08-15,8,1.0,Delivered,BLZ-137,2025-08
SHP-018-2,SITE-018,SITE-018,JP->JP,SPLR-D,2025-08-02,2025-08-07,5,-2.0,In Transit,BLZ-137,2025-08
SHP-018-2,SITE-018,SITE-018,JP->JP,SPLR-D,2025-08-01,2025-08-07,6,-1.0,Delivered,BLZ-137,2025-08
SHP-018-3,SITE-018,SITE-018,JP->JP,SPLR-D,2025-10-02,2025-10-11,9,2.0,Quarantined,BLZ-137,2025-10
SHP-018-3,SITE-018,SITE-018,JP->JP,SPLR-D,2025-10-03,2025-10-13,10,3.0,Quarantined,BLZ-137,2025-10
SHP-018-3,SITE-018,SITE-018,JP->JP,SPLR-D,2025-09-07,2025-09-20,13,6.0,Quarantined,BLZ-137,2025-09
SHP-019-1,SITE-019,SITE-019,US->US,SPLR-A,2025-08-04,2025-08-17,13,6.0,Quarantined,BLZ-137,2025-08
SHP-019-1,SITE-019,SITE-019,US->US,SPLR-A,2025-07-20,2025-07-27,7,0.0,Quarantined,BLZ-137,2025-07
SHP-019-1,SITE-019,SITE-019,US->US,SPLR-A,2025-07-29,2025-08-11,13,6.0,Quarantined,BLZ-137,2025-07
SHP-019-2,SITE-019,SITE-019,US->US,SPLR-A,2025-07-29,2025-08-05,7,0.0,Quarantined,BLZ-137,2025-07
SHP-019-2,SITE-019,SITE-019,US->US,SPLR-A,2025-08-18,2025-08-28,10,3.0,Quarantined,BLZ-137,2025-08
SHP-019-2,SITE-019,SITE-019,US->US,SPLR-A,2025-08-04,2025-08-15,11,4.0,Quarantined,BLZ-137,2025-08
SHP-019-3,SITE-019,SITE-019,US->US,SPLR-A,2025-09-25,2025-09-30,5,-2.0,Quarantined,BLZ-137,2025-09
SHP-019-3,SITE-019,SITE-019,US->US,SPLR-A,2025-09-30,2025-10-07,7,0.0,Quarantined,BLZ-137,2025-09
SHP-019-3,SITE-019,SITE-019,US->US,SPLR-A,2025-10-02,2025-10-09,7,0.0,Quarantined,BLZ-137,2025-10
SHP-020-1,SITE-020,SITE-020,DE->NL,SPLR-B,2025-07-24,2025-08-05,12,5.0,Quarantined,BLZ-137,2025-07
SHP-020-1,SITE-020,SITE-020,DE->NL,SPLR-B,2025-07-21,2025-08-03,13,6.0,Quarantined,BLZ-137,2025-07
SHP-020-1,SITE-020,SITE-020,DE->NL,SPLR-B,2025-07-19,2025-07-26,7,0.0,Quarantined,BLZ-137,2025-07
SHP-020-2,SITE-020,SITE-020,DE->NL,SPLR-B,2025-07-31,2025-08-05,5,-2.0,Delivered,BLZ-137,2025-07
SHP-020-2,SITE-020,SITE-020,DE->NL,SPLR-B,2025-08-09,2025-08-16,7,0.0,Delivered,BLZ-137,2025-08
SHP-020-2,SITE-020,SITE-020,DE->NL,SPLR-B,2025-08-09,2025-08-19,10,3.0,Delivered,BLZ-137,2025-08
SHP-020-3,SITE-020,SITE-020,DE->NL,SPLR-B,2025-09-17,2025-09-29,12,5.0,Quarantined,BLZ-137,2025-09
SHP-020-3,SITE-020,SITE-020,DE->NL,SPLR-B,2025-10-07,2025-10-12,5,-2.0,Quarantined,BLZ-137,2025-10
SHP-020-3,SITE-020,SITE-020,DE->NL,SPLR-B,2025-10-04,2025-10-10,6,-1.0,Quarantined,BLZ-137,2025-10
SHP-021-1,SITE-021,SITE-021,US->CA,SPLR-A,2025-06-22,2025-06-29,7,0.0,Quarantined,BLZ-137,2025-06
SHP-021-1,SITE-021,SITE-021,US->CA,SPLR-A,2025-08-01,2025-08-13,12,5.0,Quarantined,BLZ-137,2025-08
SHP-021-1,SITE-021,SITE-021,US->CA,SPLR-A,2025-07-01,2025-07-09,8,1.0,Quarantined,BLZ-137,2025-07
SHP-021-2,SITE-021,SITE-021,US->CA,SPLR-A,2025-08-19,2025-08-24,5,-2.0,In Transit,BLZ-137,2025-08
SHP-021-2,SITE-021,SITE-021,US->CA,SPLR-A,2025-08-03,2025-08-16,13,6.0,Delivered,BLZ-137,2025-08
SHP-021-2,SITE-021,SITE-021,US->CA,SPLR-A,2025-07-24,2025-08-03,10,3.0,Delivered,BLZ-137,2025-07
SHP-021-3,SITE-021,SITE-021,US->CA,SPLR-A,2025-09-14,2025-09-27,13,6.0,Quarantined,BLZ-137,2025-09
SHP-021-3,SITE-021,SITE-021,US->CA,SPLR-A,2025-09-29,2025-10-06,7,0.0,Quarantined,BLZ-137,2025-09
SHP-021-3,SITE-021,SITE-021,US->CA,SPLR-A,2025-10-09,2025-10-16,7,0.0,Quarantined,BLZ-137,2025-10
SHP-022-1,SITE-022,SITE-022,US->US,SPLR-A,2025-07-25,2025-08-03,9,2.0,Quarantined,BLZ-137,2025-07
SHP-022-1,SITE-022,SITE-022,US->US,SPLR-A,2025-07-21,2025-07-30,9,2.0,Quarantined,BLZ-137,2025-07
SHP-022-1,SITE-022,SITE-022,US->US,SPLR-A,2025-07-18,2025-07-28,10,3.0,Quarantined,BLZ-137,2025-07
SHP-022-2,SITE-022,SITE-022,US->US,SPLR-A,2025-08-12,2025-08-20,8,1.0,Quarantined,BLZ-137,2025-08
SHP-022-2,SITE-022,SITE-022,US->US,SPLR-A,2025-08-12,2025-08-18,6,-1.0,Quarantined,BLZ-137,2025-08
SHP-022-2,SITE-022,SITE-022,US->US,SPLR-A,2025-08-07,2025-08-15,8,1.0,Quarantined,BLZ-137,2025-08
SHP-022-3,SITE-022,SITE-022,US->US,SPLR-A,2025-10-10,2025-10-22,12,5.0,Quarantined,BLZ-137,2025-10
SHP-022-3,SITE-022,SITE-022,US->US,SPLR-A,2025-09-21,2025-09-30,9,2.0,Quarantined,BLZ-137,2025-09
