shipment_id,direction,origin_type,origin_id,dest_type,dest_id,status,dispatch_dt,eta_dt,depot_id,site_id
INB-00019,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-05,2025-06-24,,
INB-00020,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,In Transit,2025-05-08,2025-05-22,,
INB-00020,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-07-10,2025-07-24,,
INB-00020,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-08,2025-06-15,,
INB-00021,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-05-19,2025-05-31,,
INB-00021,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-28,2025-07-11,,
INB-00021,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,In Transit,2025-05-31,2025-06-13,,
INB-00022,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-12,2025-06-28,,
INB-00022,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-05-31,2025-06-15,,
INB-00022,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-14,2025-06-27,,
INB-00023,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-17,2025-07-07,,
INB-00023,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-11,2025-06-27,,
INB-00023,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,In Transit,2025-07-13,2025-07-24,,
INB-00024,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,In Transit,2025-07-01,2025-07-18,,
INB-00024,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,In Transit,2025-06-02,2025-06-19,,
INB-00024,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-19,2025-07-05,,
INB-00025,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,In Transit,2025-08-11,2025-08-18,,
INB-00025,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-08-24,2025-09-04,,
INB-00025,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-08-31,2025-09-16,,
INB-00026,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,In Transit,2025-07-21,2025-08-06,,
INB-00026,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-08-03,2025-08-12,,
INB-00026,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-09-13,2025-09-23,,
INB-00027,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-07-21,2025-07-29,,
INB-00027,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-08-11,2025-08-26,,
INB-00027,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-08-15,2025-09-01,,
INB-00028,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-19,2025-06-29,,
INB-00028,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-04,2025-06-23,,
INB-00028,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,In Transit,2025-05-24,2025-06-11,,
INB-00029,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-23,2025-07-04,,
INB-00029,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-21,2025-07-04,,
INB-00029,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-08,2025-06-24,,
INB-00030,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-27,2025-07-10,,
INB-00030,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-05-27,2025-06-14,,
INB-00030,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-05-25,2025-06-09,,
INB-00031,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-07-03,2025-07-11,,
INB-00031,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-07-19,2025-08-01,,
INB-00031,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-07-05,2025-07-22,,
INB-00032,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-21,2025-07-10,,
INB-00032,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-21,2025-06-30,,
INB-00032,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-22,2025-07-08,,
INB-00033,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-20,2025-07-02,,
INB-00033,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,In Transit,2025-07-12,2025-07-31,,
INB-00033,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-13,2025-07-02,,
INB-00034,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-08-11,2025-08-24,,
INB-00034,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-09-02,2025-09-18,,
INB-00034,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-08-05,2025-08-22,,
INB-00035,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-08-17,2025-08-24,,
INB-00035,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-08-11,2025-08-23,,
INB-00035,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-08-20,2025-09-02,,
INB-00036,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-09-13,2025-09-23,,
INB-00036,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-08-28,2025-09-16,,
INB-00036,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-08-13,2025-08-23,,
INB-00037,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-13,2025-06-22,,
INB-00037,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,In Transit,2025-05-29,2025-06-05,,
INB-00037,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-07-10,2025-07-23,,
INB-00038,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-04,2025-06-21,,
INB-00038,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-05-23,2025-05-30,,
INB-00038,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-07-02,2025-07-11,,
INB-00039,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-11,2025-06-28,,
INB-00039,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-15,2025-06-22,,
INB-00039,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,In Transit,2025-07-15,2025-07-23,,
INB-00040,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-07-04,2025-07-24,,
INB-00040,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-07-14,2025-07-21,,
INB-00040,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,In Transit,2025-07-03,2025-07-18,,
INB-00041,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,In Transit,2025-06-22,2025-07-09,,
INB-00041,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-07-09,2025-07-24,,
INB-00041,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-05-27,2025-06-05,,
INB-00042,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,In Transit,2025-06-28,2025-07-11,,
INB-00042,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-13,2025-06-27,,
INB-00042,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-06-12,2025-06-23,,
INB-00043,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-08-24,2025-09-13,,
INB-00043,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,In Transit,2025-08-02,2025-08-13,,
INB-00043,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-08-20,2025-09-03,,
INB-00044,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,In Transit,2025-08-16,2025-08-26,,
INB-00044,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-08-09,2025-08-22,,
INB-00044,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,In Transit,2025-08-28,2025-09-04,,
INB-00045,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-09-09,2025-09-17,,
INB-00045,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-08-31,2025-09-19,,
INB-00045,INBOUND,SUPPLIER,SPLR-C,DEPOT,DEPOT-BLR,Received,2025-09-11,2025-09-19,,
INB-00046,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-06-07,2025-06-27,,
INB-00046,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-06-16,2025-06-25,,
INB-00046,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-05-18,2025-06-03,,
INB-00047,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-06-22,2025-07-03,,
INB-00047,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-06-13,2025-06-21,,
INB-00047,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-06-07,2025-06-20,,
INB-00048,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,In Transit,2025-06-06,2025-06-21,,
INB-00048,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-06-09,2025-06-19,,
INB-00048,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-06-13,2025-06-29,,
INB-00049,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,In Transit,2025-07-03,2025-07-22,,
INB-00049,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,In Transit,2025-07-12,2025-07-29,,
INB-00049,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-05-29,2025-06-14,,
INB-00050,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-07-13,2025-07-25,,
INB-00050,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-07-04,2025-07-16,,
INB-00050,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-06-16,2025-06-27,,
INB-00051,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-06-06,2025-06-21,,
INB-00051,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-07-28,2025-08-13,,
INB-00051,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,In Transit,2025-06-06,2025-06-14,,
INB-00052,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-08-18,2025-09-01,,
INB-00052,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-09-08,2025-09-20,,
INB-00052,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-08-16,2025-08-31,,
INB-00053,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,In Transit,2025-07-27,2025-08-06,,
INB-00053,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,In Transit,2025-08-16,2025-08-25,,
INB-00053,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-08-18,2025-08-30,,
INB-00054,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-08-02,2025-08-13,,
INB-00054,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-08-25,2025-09-14,,
INB-00054,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-08-13,2025-09-01,,
INB-00055,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-06-15,2025-06-23,,
INB-00055,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-06-11,2025-06-20,,
INB-00055,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,In Transit,2025-06-25,2025-07-09,,
INB-00056,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-05-26,2025-06-14,,
INB-00056,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-05-21,2025-05-31,,
INB-00056,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-06-02,2025-06-09,,
INB-00057,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-06-27,2025-07-05,,
INB-00057,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-05-31,2025-06-14,,
INB-00057,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-06-28,2025-07-10,,
INB-00058,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-06-27,2025-07-04,,
INB-00058,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-07-09,2025-07-22,,
INB-00058,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-05-23,2025-06-12,,
INB-00059,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-07-14,2025-07-30,,
INB-00059,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-06-30,2025-07-11,,
INB-00059,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-05-25,2025-06-06,,
INB-00060,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-07-15,2025-07-31,,
INB-00060,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-06-25,2025-07-04,,
INB-00060,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-05-27,2025-06-09,,
INB-00061,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-07-07,2025-07-23,,
INB-00061,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-08-18,2025-08-28,,
INB-00061,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-09-01,2025-09-18,,
INB-00062,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-07-01,2025-07-09,,
INB-00062,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-09-12,2025-09-27,,
INB-00062,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-08-12,2025-09-01,,
INB-00063,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-07-22,2025-07-31,,
INB-00063,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,In Transit,2025-08-29,2025-09-05,,
INB-00063,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-08-04,2025-08-23,,
INB-00064,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-05-23,2025-06-02,,
INB-00064,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-06-04,2025-06-12,,
INB-00064,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-06-27,2025-07-13,,
INB-00065,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,In Transit,2025-06-15,2025-07-01,,
INB-00065,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-07-02,2025-07-12,,
INB-00065,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-05-27,2025-06-16,,
INB-00066,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-05-14,2025-05-22,,
INB-00066,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,In Transit,2025-06-25,2025-07-07,,
INB-00066,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-06-19,2025-06-30,,
INB-00067,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-06-10,2025-06-21,,
INB-00067,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-06-10,2025-06-27,,
INB-00067,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-06-15,2025-07-04,,
INB-00068,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-06-21,2025-07-10,,
INB-00068,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-06-10,2025-06-23,,
INB-00068,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-05-28,2025-06-15,,
INB-00069,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,In Transit,2025-07-18,2025-08-07,,
INB-00069,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,In Transit,2025-07-10,2025-07-25,,
INB-00069,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-06-14,2025-06-24,,
INB-00070,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,In Transit,2025-08-12,2025-08-30,,
INB-00070,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-08-11,2025-08-22,,
INB-00070,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-08-18,2025-09-03,,
INB-00071,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,In Transit,2025-08-12,2025-08-24,,
INB-00071,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-08-22,2025-09-01,,
INB-00071,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-08-16,2025-08-26,,
INB-00072,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-08-04,2025-08-15,,
INB-00072,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-09-03,2025-09-21,,
INB-00072,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-08-08,2025-08-21,,
INB-00073,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,In Transit,2025-06-18,2025-07-08,,
INB-00073,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-05-23,2025-06-02,,
INB-00073,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-06-13,2025-06-27,,
INB-00074,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,In Transit,2025-06-21,2025-07-10,,
INB-00074,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,Received,2025-06-11,2025-07-01,,
INB-00074,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,In Transit,2025-06-09,2025-06-20,,
INB-00075,INBOUND,SUPPLIER,SPLR-B,DEPOT,DEPOT-HH,In Transit,2025-06-30,2025-07-19,,
