lot_id,shipment_id,ndc,qty,unit_cost_usd,total_loss_usd,event_type,event_dt
LOT-005-A,,NDC-0006-5333-01,1,2203,2203,ExpirySoon,2025-05-27
LOT-013-A,SHP-013-1,NDC-0006-5333-01,34,2203,74902,Quarantine,2025-08-01
LOT-008-C,SHP-008-3,NDC-0006-5333-01,26,2312,60112,Quarantine,2025-09-19
LOT-011-B,SHP-011-2,NDC-0006-5333-01,15,2262,33930,Quarantine,2025-08-03
LOT-010-C,SHP-010-3,NDC-0006-5331-01,20,1416,28320,Quarantine,2025-10-10
LOT-060-B,SHP-060-2,NDC-0006-5332-01,12,1701,20412,Quarantine,2025-08-17
LOT-037-C,SHP-037-3,NDC-0006-5332-01,33,1814,59862,Quarantine,2025-10-01
LOT-030-C,SHP-030-3,NDC-0006-5331-01,21,1416,29736,Quarantine,2025-10-15
LOT-043-A,SHP-043-1,NDC-0006-5332-01,35,1622,56770,Quarantine,2025-07-23
LOT-009-B,SHP-009-2,NDC-0006-5333-01,12,2312,27744,Quarantine,2025-08-07
LOT-023-A,SHP-023-1,NDC-0006-5333-01,23,2312,53176,Quarantine,2025-07-27
LOT-005-A,,NDC-0006-5331-01,1,1510,1510,ExpirySoon,2025-04-21
LOT-005-A,,NDC-0006-5332-01,1,1701,1701,ExpirySoon,2025-07-14
LOT-010-A,SHP-010-1,NDC-0006-5332-01,35,1701,59535,Quarantine,2025-07-27
LOT-005-A,,NDC-0006-5332-01,1,1814,1814,ExpirySoon,2025-05-30
LOT-060-B,SHP-060-2,NDC-0006-5332-01,12,1814,21768,Quarantine,2025-08-17
LOT-038-A,SHP-038-1,NDC-0006-5332-01,40,1814,72560,Quarantine,2025-07-20
LOT-011-B,SHP-011-2,NDC-0006-5331-01,17,1416,24072,Quarantine,2025-08-04
LOT-021-C,SHP-021-3,NDC-0006-5331-01,27,1416,38232,Quarantine,2025-09-27
LOT-037-A,SHP-037-1,NDC-0006-5331-01,23,1416,32568,Quarantine,2025-07-30
LOT-004-C,SHP-004-3,NDC-0006-5331-01,30,1510,45300,Quarantine,2025-09-24
LOT-016-B,SHP-016-2,NDC-0006-5332-01,13,1622,21086,Quarantine,2025-08-15
LOT-001-B,SHP-001-2,NDC-0006-5332-01,17,1814,30838,Quarantine,2025-08-31
LOT-007-B,SHP-007-2,NDC-0006-5332-01,15,1622,24330,Quarantine,2025-08-27
LOT-044-B,SHP-044-2,NDC-0006-5331-01,23,1416,32568,Quarantine,2025-07-25
LOT-005-A,SHP-005-1,NDC-0006-5333-01,31,2262,70122,Quarantine,2025-08-05
LOT-042-A,SHP-042-1,NDC-0006-5331-01,39,1510,58890,Quarantine,2025-07-24
LOT-005-C,,NDC-0006-5333-01,1,2312,2312,ExpirySoon,2025-07-18
LOT-001-B,SHP-001-2,NDC-0006-5332-01,17,1701,28917,Quarantine,2025-08-31
LOT-048-B,SHP-048-2,NDC-0006-5332-01,17,1814,30838,Quarantine,2025-08-09
LOT-029-A,SHP-029-1,NDC-0006-5331-01,32,1416,45312,Quarantine,2025-08-07
LOT-005-A,,NDC-0006-5332-01,1,1814,1814,ExpirySoon,2025-05-06
LOT-047-C,SHP-047-3,NDC-0006-5333-01,32,2262,72384,Quarantine,2025-09-19
LOT-051-C,SHP-051-3,NDC-0006-5333-01,33,2262,74646,Quarantine,2025-10-01
LOT-005-B,,NDC-0006-5331-01,1,1416,1416,ExpirySoon,2025-06-06
LOT-046-B,SHP-046-2,NDC-0006-5331-01,16,1507,24112,Quarantine,2025-08-16
LOT-033-C,SHP-033-3,NDC-0006-5331-01,34,1507,51238,Quarantine,2025-09-25
LOT-037-A,SHP-037-1,NDC-0006-5331-01,23,1510,34730,Quarantine,2025-07-30
LOT-053-A,SHP-053-1,NDC-0006-5333-01,35,2312,80920,Quarantine,2025-07-18
LOT-026-B,SHP-026-2,NDC-0006-5333-01,22,2262,49764,Quarantine,2025-08-14
LOT-005-A,,NDC-0006-5332-01,1,1701,1701,ExpirySoon,2025-05-05
LOT-059-A,SHP-059-1,NDC-0006-5333-01,28,2312,64736,Quarantine,2025-07-31
LOT-029-B,SHP-029-2,NDC-0006-5333-01,20,2262,45240,Quarantine,2025-08-06
LOT-033-C,SHP-033-3,NDC-0006-5332-01,25,1814,45350,Quarantine,2025-10-09
LOT-025-C,SHP-025-3,NDC-0006-5331-01,31,1510,46810,Quarantine,2025-10-14
LOT-015-B,SHP-015-2,NDC-0006-5331-01,15,1510,22650,Quarantine,2025-08-05
LOT-005-A,,NDC-0006-5333-01,1,2312,2312,ExpirySoon,2025-05-23
LOT-029-A,SHP-029-1,NDC-0006-5332-01,34,1701,57834,Quarantine,2025-07-18
LOT-039-C,SHP-039-3,NDC-0006-5333-01,40,2262,90480,Quarantine,2025-10-04
LOT-019-C,SHP-019-3,NDC-0006-5332-01,37,1814,67118,Quarantine,2025-10-07
LOT-008-C,SHP-008-3,NDC-0006-5333-01,26,2262,58812,Quarantine,2025-09-19
LOT-010-A,SHP-010-1,NDC-0006-5332-01,35,1622,56770,Quarantine,2025-07-27
LOT-023-C,SHP-023-3,NDC-0006-5332-01,25,1701,42525,Quarantine,2025-09-22
LOT-013-C,SHP-013-3,NDC-0006-5331-01,21,1510,31710,Quarantine,2025-09-21
LOT-005-C,,NDC-0006-5331-01,1,1507,1507,ExpirySoon,2025-10-21
LOT-022-B,SHP-022-2,NDC-0006-5332-01,19,1701,32319,Quarantine,2025-08-18
LOT-043-C,SHP-043-3,NDC-0006-5333-01,35,2203,77105,Quarantine,2025-09-18
LOT-009-C,SHP-009-3,NDC-0006-5333-01,25,2262,56550,Quarantine,2025-10-12
LOT-005-B,,NDC-0006-5332-01,1,1701,1701,ExpirySoon,2025-06-26
LOT-005-A,SHP-005-1,NDC-0006-5333-01,31,2203,68293,Quarantine,2025-08-05
LOT-001-B,SHP-001-2,NDC-0006-5332-01,17,1622,27574,Quarantine,2025-08-31
LOT-032-A,SHP-032-1,NDC-0006-5331-01,30,1507,45210,Quarantine,2025-07-28
LOT-011-B,SHP-011-2,NDC-0006-5331-01,17,1507,25619,Quarantine,2025-08-04
LOT-005-B,,NDC-0006-5332-01,1,1814,1814,ExpirySoon,2025-06-26
LOT-032-C,SHP-032-3,NDC-0006-5333-01,25,2203,55075,Quarantine,2025-10-11
LOT-005-C,,NDC-0006-5333-01,1,2312,2312,ExpirySoon,2025-07-22
LOT-036-A,SHP-036-1,NDC-0006-5331-01,20,1510,30200,Quarantine,2025-07-27
LOT-043-A,SHP-043-1,NDC-0006-5332-01,35,1701,59535,Quarantine,2025-07-23
LOT-028-A,SHP-028-1,NDC-0006-5333-01,29,2262,65598,Quarantine,2025-07-27
LOT-039-A,SHP-039-1,NDC-0006-5332-01,40,1622,64880,Quarantine,2025-07-27
LOT-050-B,SHP-050-2,NDC-0006-5331-01,18,1510,27180,Quarantine,2025-08-09
LOT-059-A,SHP-059-1,NDC-0006-5333-01,28,2203,61684,Quarantine,2025-07-31
LOT-056-A,SHP-056-1,NDC-0006-5333-01,32,2312,73984,Quarantine,2025-08-11
LOT-005-C,,NDC-0006-5331-01,1,1416,1416,ExpirySoon,2025-09-21
LOT-027-C,SHP-027-3,NDC-0006-5332-01,25,1622,40550,Quarantine,2025-10-09
LOT-018-C,SHP-018-3,NDC-0006-5332-01,31,1622,50282,Quarantine,2025-10-13
LOT-050-A,SHP-050-1,NDC-0006-5333-01,32,2262,72384,Quarantine,2025-07-24
LOT-013-A,SHP-013-1,NDC-0006-5333-01,34,2312,78608,Quarantine,2025-08-01
LOT-046-B,SHP-046-2,NDC-0006-5333-01,19,2203,41857,Quarantine,2025-08-18
LOT-035-A,SHP-035-1,NDC-0006-5331-01,23,1507,34661,Quarantine,2025-07-17
LOT-010-A,SHP-010-1,NDC-0006-5333-01,27,2262,61074,Quarantine,2025-08-06
LOT-037-A,SHP-037-1,NDC-0006-5333-01,37,2312,85544,Quarantine,2025-08-18
LOT-005-A,,NDC-0006-5332-01,1,1622,1622,ExpirySoon,2025-04-28
LOT-003-A,SHP-003-1,NDC-0006-5331-01,34,1416,48144,Quarantine,2025-07-24
LOT-036-A,SHP-036-1,NDC-0006-5332-01,35,1701,59535,Quarantine,2025-07-07
LOT-013-A,SHP-013-1,NDC-0006-5331-01,26,1510,39260,Quarantine,2025-07-11
LOT-005-C,,NDC-0006-5333-01,1,2312,2312,ExpirySoon,2025-10-16
LOT-005-B,,NDC-0006-5331-01,1,1416,1416,ExpirySoon,2025-05-19
LOT-005-C,,NDC-0006-5332-01,1,1701,1701,ExpirySoon,2025-07-01
LOT-017-A,SHP-017-1,NDC-0006-5332-01,37,1622,60014,Quarantine,2025-07-25
LOT-034-A,SHP-034-1,NDC-0006-5331-01,34,1416,48144,Quarantine,2025-07-26
LOT-005-C,,NDC-0006-5331-01,1,1416,1416,ExpirySoon,2025-09-22
LOT-013-C,SHP-013-3,NDC-0006-5332-01,20,1814,36280,Quarantine,2025-10-02
LOT-005-B,,NDC-0006-5331-01,1,1507,1507,ExpirySoon,2025-05-19
LOT-040-B,SHP-040-2,NDC-0006-5331-01,17,1510,25670,Quarantine,2025-08-26
LOT-005-C,,NDC-0006-5331-01,1,1507,1507,ExpirySoon,2025-08-13
LOT-029-C,SHP-029-3,NDC-0006-5331-01,28,1507,42196,Quarantine,2025-10-28
LOT-038-A,SHP-038-1,NDC-0006-5332-01,40,1701,68040,Quarantine,2025-07-20
LOT-043-A,SHP-043-1,NDC-0006-5331-01,37,1510,55870,Quarantine,2025-07-22
LOT-020-C,SHP-020-3,NDC-0006-5333-01,25,2262,56550,Quarantine,2025-10-10
LOT-025-C,SHP-025-3,NDC-0006-5332-01,21,1814,38094,Quarantine,2025-09-29
LOT-005-C,,NDC-0006-5332-01,1,1814,1814,ExpirySoon,2025-07-25
LOT-045-B,SHP-045-2,NDC-0006-5333-01,15,2312,34680,Quarantine,2025-08-10
LOT-025-C,SHP-025-3,NDC-0006-5331-01,31,1507,46717,Quarantine,2025-10-14
LOT-005-C,,NDC-0006-5333-01,1,2312,2312,ExpirySoon,2025-08-07
LOT-005-C,,NDC-0006-5333-01,1,2203,2203,ExpirySoon,2025-08-16
LOT-051-C,SHP-051-3,NDC-0006-5331-01,29,1510,43790,Quarantine,2025-09-24
LOT-010-A,SHP-010-1,NDC-0006-5331-01,34,1507,51238,Quarantine,2025-07-23
LOT-015-B,SHP-015-2,NDC-0006-5331-01,15,1416,21240,Quarantine,2025-08-05
LOT-042-B,SHP-042-2,NDC-0006-5332-01,16,1814,29024,Quarantine,2025-08-24
LOT-005-A,,NDC-0006-5332-01,1,1701,1701,ExpirySoon,2025-06-05
LOT-011-B,SHP-011-2,NDC-0006-5333-01,15,2203,33045,Quarantine,2025-08-03
LOT-056-C,SHP-056-3,NDC-0006-5332-01,34,1814,61676,Quarantine,2025-10-12
LOT-054-A,SHP-054-1,NDC-0006-5331-01,39,1416,55224,Quarantine,2025-08-06
LOT-038-A,SHP-038-1,NDC-0006-5332-01,40,1622,64880,Quarantine,2025-07-20
LOT-027-B,SHP-027-2,NDC-0006-5333-01,10,2312,23120,Quarantine,2025-06-29
LOT-042-A,SHP-042-1,NDC-0006-5331-01,39,1416,55224,Quarantine,2025-07-24
LOT-005-A,,NDC-0006-5331-01,1,1507,1507,ExpirySoon,2025-05-16
LOT-003-C,SHP-003-3,NDC-0006-5333-01,22,2203,48466,Quarantine,2025-10-14
LOT-005-A,,NDC-0006-5333-01,1,2312,2312,ExpirySoon,2025-07-05
LOT-057-C,SHP-057-3,NDC-0006-5332-01,36,1622,58392,Quarantine,2025-10-16
LOT-005-C,,NDC-0006-5332-01,1,1622,1622,ExpirySoon,2025-06-02
LOT-005-C,,NDC-0006-5333-01,1,2203,2203,ExpirySoon,2025-06-24
LOT-010-A,SHP-010-1,NDC-0006-5333-01,27,2203,59481,Quarantine,2025-08-06
LOT-060-A,SHP-060-1,NDC-0006-5332-01,29,1814,52606,Quarantine,2025-07-27
LOT-013-A,SHP-013-1,NDC-0006-5331-01,26,1507,39182,Quarantine,2025-07-11
LOT-005-A,,NDC-0006-5331-01,1,1510,1510,ExpirySoon,2025-04-28
LOT-035-B,SHP-035-2,NDC-0006-5332-01,19,1701,32319,Quarantine,2025-08-15
LOT-057-A,SHP-057-1,NDC-0006-5332-01,30,1814,54420,Quarantine,2025-08-08
LOT-005-C,,NDC-0006-5333-01,1,2312,2312,ExpirySoon,2025-08-22
LOT-033-C,SHP-033-3,NDC-0006-5333-01,30,2262,67860,Quarantine,2025-10-08
LOT-032-A,SHP-032-1,NDC-0006-5332-01,28,1701,47628,Quarantine,2025-08-01
LOT-022-C,SHP-022-3,NDC-0006-5333-01,27,2262,61074,Quarantine,2025-10-08
LOT-018-A,SHP-018-1,NDC-0006-5333-01,21,2312,48552,Quarantine,2025-07-08
LOT-034-B,SHP-034-2,NDC-0006-5332-01,13,1622,21086,Quarantine,2025-08-21
LOT-033-C,SHP-033-3,NDC-0006-5332-01,25,1622,40550,Quarantine,2025-10-09
LOT-005-A,,NDC-0006-5333-01,1,2203,2203,ExpirySoon,2025-05-23
LOT-015-A,SHP-015-1,NDC-0006-5331-01,39,1507,58773,Quarantine,2025-08-10
LOT-005-B,,NDC-0006-5332-01,1,1701,1701,ExpirySoon,2025-06-03
LOT-048-A,SHP-048-1,NDC-0006-5331-01,26,1510,39260,Quarantine,2025-07-24
LOT-009-C,SHP-009-3,NDC-0006-5331-01,33,1416,46728,Quarantine,2025-10-05
LOT-038-A,SHP-038-1,NDC-0006-5331-01,19,1416,26904,Quarantine,2025-08-07
LOT-057-B,SHP-057-2,NDC-0006-5331-01,15,1510,22650,Quarantine,2025-08-16
LOT-024-A,SHP-024-1,NDC-0006-5332-01,27,1701,45927,Quarantine,2025-07-29
