shipment_id,site_id,lot_id,ndc,dispatch_dt,eta_dt,reason,decision,decision_dt
SHP-013-1,SITE-013,LOT-013-A,NDC-0006-5331-01,2025-06-30,2025-07-11,TempExcursion,Quarantine-Release Pending QA,2025-07-11
SHP-013-1,SITE-013,LOT-013-A,NDC-0006-5333-01,2025-07-26,2025-08-01,TempExcursion,Quarantine-Release Pending QA,2025-08-01
SHP-013-2,SITE-013,LOT-013-B,NDC-0006-5332-01,2025-07-24,2025-08-04,TempExcursion,Quarantine-Release Pending QA,2025-08-04
SHP-013-3,SITE-013,LOT-013-C,NDC-0006-5331-01,2025-09-11,2025-09-21,TempExcursion,Quarantine-Release Pending QA,2025-09-21
SHP-013-3,SITE-013,LOT-013-C,NDC-0006-5332-01,2025-09-21,2025-10-02,TempExcursion,Quarantine-Confirmed,2025-10-02
SHP-013-3,SITE-013,LOT-013-C,NDC-0006-5333-01,2025-10-08,2025-10-20,TempExcursion,Quarantine-Confirmed,2025-10-20
SHP-014-1,SITE-014,LOT-014-A,NDC-0006-5331-01,2025-07-10,2025-07-16,TempExcursion,Quarantine-Confirmed,2025-07-16
SHP-014-2,SITE-014,LOT-014-B,NDC-0006-5333-01,2025-08-12,2025-08-23,TempExcursion,Quarantine-Release Pending QA,2025-08-23
SHP-014-3,SITE-014,LOT-014-C,NDC-0006-5331-01,2025-10-13,2025-10-22,TempExcursion,Quarantine-Confirmed,2025-10-22
SHP-015-1,SITE-015,LOT-015-A,NDC-0006-5331-01,2025-07-30,2025-08-10,TempExcursion,Quarantine-Release Pending QA,2025-08-10
SHP-015-2,SITE-015,LOT-015-B,NDC-0006-5331-01,2025-07-23,2025-08-05,TempExcursion,Quarantine-Release Pending QA,2025-08-05
SHP-015-2,SITE-015,LOT-015-B,NDC-0006-5332-01,2025-08-08,2025-08-21,TempExcursion,Quarantine-Confirmed,2025-08-21
SHP-015-3,SITE-015,LOT-015-C,NDC-0006-5332-01,2025-10-04,2025-10-17,TempExcursion,Quarantine-Confirmed,2025-10-17
SHP-016-1,SITE-016,LOT-016-A,NDC-0006-5331-01,2025-07-25,2025-07-31,TempExcursion,Quarantine-Release Pending QA,2025-07-31
SHP-016-2,SITE-016,LOT-016-B,NDC-0006-5332-01,2025-08-07,2025-08-15,TempExcursion,Quarantine-Release Pending QA,2025-08-15
SHP-016-2,SITE-016,LOT-016-B,NDC-0006-5333-01,2025-08-05,2025-08-14,TempExcursion,Quarantine-Confirmed,2025-08-14
SHP-016-3,SITE-016,LOT-016-C,NDC-0006-5331-01,2025-09-26,2025-10-04,TempExcursion,Quarantine-Confirmed,2025-10-04
SHP-016-3,SITE-016,LOT-016-C,NDC-0006-5333-01,2025-09-20,2025-09-26,TempExcursion,Quarantine-Confirmed,2025-09-26
SHP-017-1,SITE-017,LOT-017-A,NDC-0006-5331-01,2025-07-07,2025-07-20,TempExcursion,Quarantine-Release Pending QA,2025-07-20
SHP-017-1,SITE-017,LOT-017-A,NDC-0006-5332-01,2025-07-17,2025-07-25,TempExcursion,Quarantine-Release Pending QA,2025-07-25
SHP-017-2,SITE-017,LOT-017-B,NDC-0006-5331-01,2025-07-31,2025-08-07,TempExcursion,Quarantine-Release Pending QA,2025-08-07
SHP-017-3,SITE-017,LOT-017-C,NDC-0006-5331-01,2025-09-21,2025-09-28,TempExcursion,Quarantine-Release Pending QA,2025-09-28
SHP-017-3,SITE-017,LOT-017-C,NDC-0006-5332-01,2025-10-03,2025-10-15,TempExcursion,Quarantine-Release Pending QA,2025-10-15
SHP-017-3,SITE-017,LOT-017-C,NDC-0006-5333-01,2025-09-07,2025-09-16,TempExcursion,Quarantine-Release Pending QA,2025-09-16
SHP-018-1,SITE-018,LOT-018-A,NDC-0006-5332-01,2025-07-08,2025-07-20,TempExcursion,Quarantine-Release Pending QA,2025-07-20
SHP-018-1,SITE-018,LOT-018-A,NDC-0006-5333-01,2025-06-28,2025-07-08,TempExcursion,Quarantine-Release Pending QA,2025-07-08
SHP-018-3,SITE-018,LOT-018-C,NDC-0006-5331-01,2025-10-02,2025-10-11,TempExcursion,Quarantine-Release Pending QA,2025-10-11
SHP-018-3,SITE-018,LOT-018-C,NDC-0006-5332-01,2025-10-03,2025-10-13,TempExcursion,Quarantine-Release Pending QA,2025-10-13
SHP-019-1,SITE-019,LOT-019-A,NDC-0006-5331-01,2025-08-04,2025-08-17,TempExcursion,Quarantine-Confirmed,2025-08-17
SHP-019-1,SITE-019,LOT-019-A,NDC-0006-5333-01,2025-07-29,2025-08-11,TempExcursion,Quarantine-Confirmed,2025-08-11
SHP-019-2,SITE-019,LOT-019-B,NDC-0006-5333-01,2025-08-04,2025-08-15,TempExcursion,Quarantine-Confirmed,2025-08-15
SHP-019-3,SITE-019,LOT-019-C,NDC-0006-5332-01,2025-09-30,2025-10-07,TempExcursion,Quarantine-Confirmed,2025-10-07
SHP-020-1,SITE-020,LOT-020-A,NDC-0006-5333-01,2025-07-19,2025-07-26,TempExcursion,Quarantine-Confirmed,2025-07-26
SHP-020-3,SITE-020,LOT-020-C,NDC-0006-5331-01,2025-09-17,2025-09-29,TempExcursion,Quarantine-Confirmed,2025-09-29
SHP-020-3,SITE-020,LOT-020-C,NDC-0006-5332-01,2025-10-07,2025-10-12,TempExcursion,Quarantine-Confirmed,2025-10-12
SHP-020-3,SITE-020,LOT-020-C,NDC-0006-5333-01,2025-10-04,2025-10-10,TempExcursion,Quarantine-Release Pending QA,2025-10-10
SHP-021-1,SITE-021,LOT-021-A,NDC-0006-5331-01,2025-06-22,2025-06-29,TempExcursion,Quarantine-Release Pending QA,2025-06-29
SHP-021-1,SITE-021,LOT-021-A,NDC-0006-5333-01,2025-07-01,2025-07-09,TempExcursion,Quarantine-Release Pending QA,2025-07-09
SHP-021-3,SITE-021,LOT-021-C,NDC-0006-5331-01,2025-09-14,2025-09-27,TempExcursion,Quarantine-Release Pending QA,2025-09-27
SHP-021-3,SITE-021,LOT-021-C,NDC-0006-5333-01,2025-10-09,2025-10-16,TempExcursion,Quarantine-Release Pending QA,2025-10-16
SHP-022-1,SITE-022,LOT-022-A,NDC-0006-5331-01,2025-07-25,2025-08-03,TempExcursion,Quarantine-Confirmed,2025-08-03
SHP-022-2,SITE-022,LOT-022-B,NDC-0006-5332-01,2025-08-12,2025-08-18,TempExcursion,Quarantine-Confirmed,2025-08-18
SHP-022-2,SITE-022,LOT-022-B,NDC-0006-5333-01,2025-08-07,2025-08-15,TempExcursion,Quarantine-Release Pending QA,2025-08-15
SHP-022-3,SITE-022,LOT-022-C,NDC-0006-5333-01,2025-09-28,2025-10-08,TempExcursion,Quarantine-Confirmed,2025-10-08
SHP-023-1,SITE-023,LOT-023-A,NDC-0006-5332-01,2025-07-17,2025-07-28,TempExcursion,Quarantine-Release Pending QA,2025-07-28
SHP-023-1,SITE-023,LOT-023-A,NDC-0006-5333-01,2025-07-21,2025-07-27,TempExcursion,Quarantine-Release Pending QA,2025-07-27
SHP-023-3,SITE-023,LOT-023-C,NDC-0006-5332-01,2025-09-13,2025-09-22,TempExcursion,Quarantine-Release Pending QA,2025-09-22
SHP-023-3,SITE-023,LOT-023-C,NDC-0006-5333-01,2025-10-05,2025-10-18,TempExcursion,Quarantine-Release Pending QA,2025-10-18
SHP-024-1,SITE-024,LOT-024-A,NDC-0006-5331-01,2025-07-16,2025-07-25,TempExcursion,Quarantine-Release Pending QA,2025-07-25
SHP-024-1,SITE-024,LOT-024-A,NDC-0006-5332-01,2025-07-19,2025-07-29,TempExcursion,Quarantine-Release Pending QA,2025-07-29
SHP-024-1,SITE-024,LOT-024-A,NDC-0006-5333-01,2025-07-24,2025-08-01,TempExcursion,Quarantine-Release Pending QA,2025-08-01
SHP-024-3,SITE-024,LOT-024-C,NDC-0006-5333-01,2025-09-26,2025-10-07,TempExcursion,Quarantine-Confirmed,2025-10-07
SHP-025-3,SITE-025,LOT-025-C,NDC-0006-5331-01,2025-10-01,2025-10-14,TempExcursion,Quarantine-Release Pending QA,2025-10-14
SHP-025-3,SITE-025,LOT-025-C,NDC-0006-5332-01,2025-09-16,2025-09-29,TempExcursion,Quarantine-Release Pending QA,2025-09-29
SHP-026-2,SITE-026,LOT-026-B,NDC-0006-5333-01,2025-08-09,2025-08-14,TempExcursion,Quarantine-Confirmed,2025-08-14
SHP-026-3,SITE-026,LOT-026-C,NDC-0006-5332-01,2025-10-14,2025-10-25,TempExcursion,Quarantine-Release Pending QA,2025-10-25
SHP-026-3,SITE-026,LOT-026-C,NDC-0006-5333-01,2025-09-30,2025-10-05,TempExcursion,Quarantine-Release Pending QA,2025-10-05
SHP-027-1,SITE-027,LOT-027-A,NDC-0006-5331-01,2025-07-19,2025-08-01,TempExcursion,Quarantine-Release Pending QA,2025-08-01
SHP-027-1,SITE-027,LOT-027-A,NDC-0006-5332-01,2025-07-07,2025-07-13,TempExcursion,Quarantine-Confirmed,2025-07-13
SHP-027-2,SITE-027,LOT-027-B,NDC-0006-5331-01,2025-08-18,2025-08-27,TempExcursion,Quarantine-Release Pending QA,2025-08-27
SHP-027-2,SITE-027,LOT-027-B,NDC-0006-5333-01,2025-06-17,2025-06-29,TempExcursion,Quarantine-Release Pending QA,2025-06-29
SHP-027-3,SITE-027,LOT-027-C,NDC-0006-5331-01,2025-10-04,2025-10-15,TempExcursion,Quarantine-Confirmed,2025-10-15
SHP-027-3,SITE-027,LOT-027-C,NDC-0006-5332-01,2025-09-26,2025-10-09,TempExcursion,Quarantine-Release Pending QA,2025-10-09
SHP-028-1,SITE-028,LOT-028-A,NDC-0006-5331-01,2025-07-27,2025-08-08,TempExcursion,Quarantine-Release Pending QA,2025-08-08
SHP-028-1,SITE-028,LOT-028-A,NDC-0006-5333-01,2025-07-20,2025-07-27,TempExcursion,Quarantine-Release Pending QA,2025-07-27
SHP-029-1,SITE-029,LOT-029-A,NDC-0006-5331-01,2025-07-25,2025-08-07,TempExcursion,Quarantine-Release Pending QA,2025-08-07
SHP-029-1,SITE-029,LOT-029-A,NDC-0006-5332-01,2025-07-09,2025-07-18,TempExcursion,Quarantine-Release Pending QA,2025-07-18
SHP-029-1,SITE-029,LOT-029-A,NDC-0006-5333-01,2025-07-22,2025-07-27,TempExcursion,Quarantine-Confirmed,2025-07-27
SHP-029-2,SITE-029,LOT-029-B,NDC-0006-5333-01,2025-08-01,2025-08-06,TempExcursion,Quarantine-Release Pending QA,2025-08-06
SHP-029-3,SITE-029,LOT-029-C,NDC-0006-5331-01,2025-10-16,2025-10-28,TempExcursion,Quarantine-Confirmed,2025-10-28
SHP-029-3,SITE-029,LOT-029-C,NDC-0006-5332-01,2025-09-22,2025-09-30,TempExcursion,Quarantine-Release Pending QA,2025-09-30
SHP-029-3,SITE-029,LOT-029-C,NDC-0006-5333-01,2025-09-15,2025-09-23,TempExcursion,Quarantine-Release Pending QA,2025-09-23
SHP-030-3,SITE-030,LOT-030-C,NDC-0006-5331-01,2025-10-08,2025-10-15,TempExcursion,Quarantine-Release Pending QA,2025-10-15
SHP-031-3,SITE-031,LOT-031-C,NDC-0006-5331-01,2025-10-03,2025-10-10,TempExcursion,Quarantine-Release Pending QA,2025-10-10
SHP-031-3,SITE-031,LOT-031-C,NDC-0006-5333-01,2025-09-21,2025-09-26,TempExcursion,Quarantine-Release Pending QA,2025-09-26
SHP-032-1,SITE-032,LOT-032-A,NDC-0006-5331-01,2025-07-18,2025-07-28,TempExcursion,Quarantine-Release Pending QA,2025-07-28
SHP-032-1,SITE-032,LOT-032-A,NDC-0006-5332-01,2025-07-23,2025-08-01,TempExcursion,Quarantine-Release Pending QA,2025-08-01
SHP-032-1,SITE-032,LOT-032-A,NDC-0006-5333-01,2025-07-19,2025-07-31,TempExcursion,Quarantine-Release Pending QA,2025-07-31
SHP-032-2,SITE-032,LOT-032-B,NDC-0006-5332-01,2025-08-10,2025-08-23,TempExcursion,Quarantine-Release Pending QA,2025-08-23
SHP-032-3,SITE-032,LOT-032-C,NDC-0006-5331-01,2025-09-30,2025-10-09,TempExcursion,Quarantine-Confirmed,2025-10-09
SHP-032-3,SITE-032,LOT-032-C,NDC-0006-5332-01,2025-10-01,2025-10-07,TempExcursion,Quarantine-Release Pending QA,2025-10-07
SHP-032-3,SITE-032,LOT-032-C,NDC-0006-5333-01,2025-10-01,2025-10-11,TempExcursion,Quarantine-Release Pending QA,2025-10-11
SHP-033-1,SITE-033,LOT-033-A,NDC-0006-5331-01,2025-07-01,2025-07-07,TempExcursion,Quarantine-Release Pending QA,2025-07-07
SHP-033-3,SITE-033,LOT-033-C,NDC-0006-5331-01,2025-09-18,2025-09-25,TempExcursion,Quarantine-Confirmed,2025-09-25
SHP-033-3,SITE-033,LOT-033-C,NDC-0006-5332-01,2025-09-26,2025-10-09,TempExcursion,Quarantine-Release Pending QA,2025-10-09
SHP-033-3,SITE-033,LOT-033-C,NDC-0006-5333-01,2025-09-29,2025-10-08,TempExcursion,Quarantine-Release Pending QA,2025-10-08
SHP-034-1,SITE-034,LOT-034-A,NDC-0006-5331-01,2025-07-21,2025-07-26,TempExcursion,Quarantine-Release Pending QA,2025-07-26
SHP-034-1,SITE-034,LOT-034-A,NDC-0006-5332-01,2025-06-15,2025-06-25,TempExcursion,Quarantine-Release Pending QA,2025-06-25
SHP-034-1,SITE-034,LOT-034-A,NDC-0006-5333-01,2025-07-21,2025-08-02,TempExcursion,Quarantine-Confirmed,2025-08-02
SHP-034-2,SITE-034,LOT-034-B,NDC-0006-5332-01,2025-08-15,2025-08-21,TempExcursion,Quarantine-Confirmed,2025-08-21
SHP-034-3,SITE-034,LOT-034-C,NDC-0006-5331-01,2025-10-01,2025-10-08,TempExcursion,Quarantine-Release Pending QA,2025-10-08
SHP-034-3,SITE-034,LOT-034-C,NDC-0006-5332-01,2025-10-04,2025-10-17,TempExcursion,Quarantine-Confirmed,2025-10-17
SHP-034-3,SITE-034,LOT-034-C,NDC-0006-5333-01,2025-09-07,2025-09-17,TempExcursion,Quarantine-Release Pending QA,2025-09-17
SHP-035-1,SITE-035,LOT-035-A,NDC-0006-5331-01,2025-07-11,2025-07-17,TempExcursion,Quarantine-Confirmed,2025-07-17
SHP-035-1,SITE-035,LOT-035-A,NDC-0006-5333-01,2025-07-19,2025-08-01,TempExcursion,Quarantine-Confirmed,2025-08-01
SHP-035-2,SITE-035,LOT-035-B,NDC-0006-5332-01,2025-08-02,2025-08-15,TempExcursion,Quarantine-Release Pending QA,2025-08-15
SHP-035-3,SITE-035,LOT-035-C,NDC-0006-5331-01,2025-09-01,2025-09-10,TempExcursion,Quarantine-Release Pending QA,2025-09-10
SHP-035-3,SITE-035,LOT-035-C,NDC-0006-5333-01,2025-08-28,2025-09-09,TempExcursion,Quarantine-Release Pending QA,2025-09-09
SHP-036-1,SITE-036,LOT-036-A,NDC-0006-5331-01,2025-07-16,2025-07-27,TempExcursion,Quarantine-Confirmed,2025-07-27
SHP-036-1,SITE-036,LOT-036-A,NDC-0006-5332-01,2025-07-01,2025-07-07,TempExcursion,Quarantine-Confirmed,2025-07-07
SHP-036-2,SITE-036,LOT-036-B,NDC-0006-5331-01,2025-07-31,2025-08-06,TempExcursion,Quarantine-Confirmed,2025-08-06
SHP-036-3,SITE-036,LOT-036-C,NDC-0006-5331-01,2025-09-23,2025-09-30,TempExcursion,Quarantine-Confirmed,2025-09-30
SHP-037-1,SITE-037,LOT-037-A,NDC-0006-5331-01,2025-07-22,2025-07-30,TempExcursion,Quarantine-Confirmed,2025-07-30
SHP-037-1,SITE-037,LOT-037-A,NDC-0006-5332-01,2025-07-13,2025-07-23,TempExcursion,Quarantine-Release Pending QA,2025-07-23
SHP-037-1,SITE-037,LOT-037-A,NDC-0006-5333-01,2025-08-05,2025-08-18,TempExcursion,Quarantine-Release Pending QA,2025-08-18
SHP-037-2,SITE-037,LOT-037-B,NDC-0006-5331-01,2025-08-09,2025-08-16,TempExcursion,Quarantine-Confirmed,2025-08-16
SHP-037-3,SITE-037,LOT-037-C,NDC-0006-5332-01,2025-09-24,2025-10-01,TempExcursion,Quarantine-Release Pending QA,2025-10-01
SHP-038-1,SITE-038,LOT-038-A,NDC-0006-5331-01,2025-07-27,2025-08-07,TempExcursion,Quarantine-Confirmed,2025-08-07
SHP-038-1,SITE-038,LOT-038-A,NDC-0006-5332-01,2025-07-13,2025-07-20,TempExcursion,Quarantine-Confirmed,2025-07-20
SHP-038-1,SITE-038,LOT-038-A,NDC-0006-5333-01,2025-07-29,2025-08-06,TempExcursion,Quarantine-Release Pending QA,2025-08-06
SHP-038-3,SITE-038,LOT-038-C,NDC-0006-5333-01,2025-10-12,2025-10-19,TempExcursion,Quarantine-Release Pending QA,2025-10-19
SHP-039-1,SITE-039,LOT-039-A,NDC-0006-5332-01,2025-07-14,2025-07-27,TempExcursion,Quarantine-Release Pending QA,2025-07-27
SHP-039-1,SITE-039,LOT-039-A,NDC-0006-5333-01,2025-07-15,2025-07-21,TempExcursion,Quarantine-Confirmed,2025-07-21
SHP-039-2,SITE-039,LOT-039-B,NDC-0006-5333-01,2025-07-14,2025-07-21,TempExcursion,Quarantine-Release Pending QA,2025-07-21
SHP-039-3,SITE-039,LOT-039-C,NDC-0006-5331-01,2025-09-28,2025-10-11,TempExcursion,Quarantine-Release Pending QA,2025-10-11
SHP-039-3,SITE-039,LOT-039-C,NDC-0006-5333-01,2025-09-23,2025-10-04,TempExcursion,Quarantine-Release Pending QA,2025-10-04
SHP-040-1,SITE-040,LOT-040-A,NDC-0006-5332-01,2025-07-19,2025-07-28,TempExcursion,Quarantine-Release Pending QA,2025-07-28
SHP-040-1,SITE-040,LOT-040-A,NDC-0006-5333-01,2025-07-23,2025-08-05,TempExcursion,Quarantine-Release Pending QA,2025-08-05
SHP-040-2,SITE-040,LOT-040-B,NDC-0006-5331-01,2025-08-16,2025-08-26,TempExcursion,Quarantine-Release Pending QA,2025-08-26
SHP-040-3,SITE-040,LOT-040-C,NDC-0006-5331-01,2025-10-12,2025-10-19,TempExcursion,Quarantine-Confirmed,2025-10-19
SHP-040-3,SITE-040,LOT-040-C,NDC-0006-5332-01,2025-09-30,2025-10-11,TempExcursion,Quarantine-Release Pending QA,2025-10-11
SHP-041-2,SITE-041,LOT-041-B,NDC-0006-5332-01,2025-08-02,2025-08-13,TempExcursion,Quarantine-Confirmed,2025-08-13
SHP-041-3,SITE-041,LOT-041-C,NDC-0006-5331-01,2025-10-11,2025-10-20,TempExcursion,Quarantine-Confirmed,2025-10-20
SHP-041-3,SITE-041,LOT-041-C,NDC-0006-5333-01,2025-09-18,2025-09-26,TempExcursion,Quarantine-Release Pending QA,2025-09-26
SHP-042-1,SITE-042,LOT-042-A,NDC-0006-5331-01,2025-07-19,2025-07-24,TempExcursion,Quarantine-Release Pending QA,2025-07-24
SHP-042-1,SITE-042,LOT-042-A,NDC-0006-5333-01,2025-07-22,2025-07-28,TempExcursion,Quarantine-Release Pending QA,2025-07-28
SHP-042-2,SITE-042,LOT-042-B,NDC-0006-5332-01,2025-08-11,2025-08-24,TempExcursion,Quarantine-Confirmed,2025-08-24
SHP-042-2,SITE-042,LOT-042-B,NDC-0006-5333-01,2025-08-19,2025-08-27,TempExcursion,Quarantine-Release Pending QA,2025-08-27
SHP-042-3,SITE-042,LOT-042-C,NDC-0006-5333-01,2025-09-26,2025-10-01,TempExcursion,Quarantine-Confirmed,2025-10-01
SHP-043-1,SITE-043,LOT-043-A,NDC-0006-5331-01,2025-07-16,2025-07-22,TempExcursion,Quarantine-Release Pending QA,2025-07-22
SHP-043-1,SITE-043,LOT-043-A,NDC-0006-5332-01,2025-07-12,2025-07-23,TempExcursion,Quarantine-Release Pending QA,2025-07-23
SHP-043-3,SITE-043,LOT-043-C,NDC-0006-5333-01,2025-09-07,2025-09-18,TempExcursion,Quarantine-Release Pending QA,2025-09-18
SHP-044-2,SITE-044,LOT-044-B,NDC-0006-5331-01,2025-07-17,2025-07-25,TempExcursion,Quarantine-Confirmed,2025-07-25
SHP-044-3,SITE-044,LOT-044-C,NDC-0006-5332-01,2025-09-30,2025-10-07,TempExcursion,Quarantine-Release Pending QA,2025-10-07
SHP-045-1,SITE-045,LOT-045-A,NDC-0006-5331-01,2025-07-04,2025-07-10,TempExcursion,Quarantine-Confirmed,2025-07-10
SHP-045-1,SITE-045,LOT-045-A,NDC-0006-5333-01,2025-07-27,2025-08-01,TempExcursion,Quarantine-Release Pending QA,2025-08-01
SHP-045-2,SITE-045,LOT-045-B,NDC-0006-5333-01,2025-08-01,2025-08-10,TempExcursion,Quarantine-Release Pending QA,2025-08-10
SHP-045-3,SITE-045,LOT-045-C,NDC-0006-5331-01,2025-10-05,2025-10-12,TempExcursion,Quarantine-Release Pending QA,2025-10-12
SHP-046-1,SITE-046,LOT-046-A,NDC-0006-5332-01,2025-07-26,2025-07-31,TempExcursion,Quarantine-Release Pending QA,2025-07-31
SHP-046-1,SITE-046,LOT-046-A,NDC-0006-5333-01,2025-06-27,2025-07-10,TempExcursion,Quarantine-Release Pending QA,2025-07-10
