shipment_id,lot_id,ndc,qty,line_no,depot_id,status,dispatch_dt,unit_cost_usd,transport_cost_usd,handling_cost_usd,total_cost_usd
SHP-018-3,LOT-018-C,NDC-0006-5331-01,34,1,DEPOT-TYO,Quarantined,2025-10-03,1510,1151,114,52605
SHP-055-2,LOT-055-B,NDC-0006-5333-01,13,3,DEPOT-HH,Quarantined,2025-08-13,2203,949,393,29981
SHP-031-3,LOT-031-C,NDC-0006-5332-01,25,2,DEPOT-BLR,Quarantined,2025-10-03,1814,790,365,46505
SHP-009-2,LOT-009-B,NDC-0006-5331-01,12,1,DEPOT-BLR,Delivered,2025-08-05,1510,1050,261,19431
SHP-056-1,LOT-056-A,NDC-0006-5331-01,31,1,DEPOT-TYO,Quarantined,2025-07-31,1507,1416,164,48297
SHP-015-1,LOT-015-A,NDC-0006-5333-01,17,3,DEPOT-NJ,Quarantined,2025-07-30,2203,1397,280,39128
SHP-038-2,LOT-038-B,NDC-0006-5333-01,13,3,DEPOT-NJ,In Transit,2025-08-09,2262,1332,157,30895
SHP-001-3,LOT-001-C,NDC-0006-5333-01,19,3,DEPOT-HH,Delivered,2025-09-09,2262,1356,198,44532
SHP-002-3,LOT-002-C,NDC-0006-5331-01,32,1,DEPOT-HH,Quarantined,2025-08-26,1510,1164,223,49707
SHP-027-3,LOT-027-C,NDC-0006-5331-01,29,1,DEPOT-HH,Quarantined,2025-10-04,1507,1355,169,45227
SHP-007-1,LOT-007-A,NDC-0006-5332-01,30,2,DEPOT-NJ,Delivered,2025-07-23,1814,975,132,55527
SHP-050-2,LOT-050-B,NDC-0006-5331-01,18,1,DEPOT-HH,Delivered,2025-07-25,1416,586,394,26468
SHP-050-2,LOT-050-B,NDC-0006-5333-01,21,3,DEPOT-HH,Delivered,2025-07-25,2262,1416,228,49146
SHP-024-3,LOT-024-C,NDC-0006-5333-01,31,3,DEPOT-HH,In Transit,2025-09-15,2312,535,340,72547
SHP-001-2,LOT-001-B,NDC-0006-5333-01,13,3,DEPOT-HH,Delivered,2025-08-03,2262,1199,119,30724
SHP-011-3,LOT-011-C,NDC-0006-5332-01,20,2,DEPOT-NJ,Delivered,2025-09-24,1622,1109,363,33912
SHP-020-2,LOT-020-B,NDC-0006-5333-01,10,3,DEPOT-HH,Delivered,2025-07-31,2203,839,256,23125
SHP-010-1,LOT-010-A,NDC-0006-5332-01,35,2,DEPOT-TYO,Quarantined,2025-08-01,1701,599,272,60406
SHP-004-3,LOT-004-C,NDC-0006-5333-01,32,3,DEPOT-HH,Quarantined,2025-09-16,2312,748,220,74952
SHP-021-3,LOT-021-C,NDC-0006-5333-01,23,3,DEPOT-NJ,Delivered,2025-09-29,2262,832,317,53175
SHP-016-1,LOT-016-A,NDC-0006-5332-01,34,2,DEPOT-HH,Quarantined,2025-07-25,1701,653,308,58795
SHP-014-3,LOT-014-C,NDC-0006-5333-01,28,3,DEPOT-HH,In Transit,2025-09-01,2203,638,397,62719
SHP-057-2,LOT-057-B,NDC-0006-5331-01,15,1,DEPOT-HH,In Transit,2025-08-03,1507,1074,196,23875
SHP-011-2,LOT-011-B,NDC-0006-5332-01,8,2,DEPOT-NJ,Quarantined,2025-07-28,1814,616,151,15279
SHP-006-1,LOT-006-A,NDC-0006-5332-01,40,2,DEPOT-HH,Delivered,2025-07-21,1622,1307,131,66318
SHP-053-3,LOT-053-C,NDC-0006-5333-01,32,3,DEPOT-HH,Quarantined,2025-09-14,2262,967,265,73616
SHP-052-3,LOT-052-C,NDC-0006-5333-01,28,3,DEPOT-NJ,Quarantined,2025-09-04,2203,989,380,63053
SHP-039-3,LOT-039-C,NDC-0006-5333-01,40,3,DEPOT-NJ,Quarantined,2025-09-28,2203,1220,179,89519
SHP-011-1,LOT-011-A,NDC-0006-5333-01,23,3,DEPOT-NJ,In Transit,2025-07-09,2312,933,248,54357
SHP-030-3,LOT-030-C,NDC-0006-5332-01,35,2,DEPOT-HH,In Transit,2025-10-03,1814,1363,341,65194
SHP-048-2,LOT-048-B,NDC-0006-5332-01,17,2,DEPOT-NJ,Quarantined,2025-08-04,1701,676,233,29826
SHP-028-3,LOT-028-C,NDC-0006-5333-01,36,3,DEPOT-TYO,Delivered,2025-10-01,2262,1360,226,83018
SHP-023-1,LOT-023-A,NDC-0006-5332-01,37,2,DEPOT-HH,Quarantined,2025-07-17,1814,887,156,68161
SHP-020-3,LOT-020-C,NDC-0006-5333-01,25,3,DEPOT-HH,Quarantined,2025-10-07,2203,570,233,55878
SHP-032-3,LOT-032-C,NDC-0006-5333-01,25,3,DEPOT-HH,Quarantined,2025-10-01,2262,624,174,57348
SHP-039-1,LOT-039-A,NDC-0006-5331-01,29,1,DEPOT-NJ,Quarantined,2025-07-14,1507,1164,225,45092
SHP-002-2,LOT-002-B,NDC-0006-5332-01,16,2,DEPOT-HH,In Transit,2025-08-07,1622,1447,255,27654
SHP-051-2,LOT-051-B,NDC-0006-5332-01,12,2,DEPOT-HH,Quarantined,2025-07-28,1622,1369,360,21193
SHP-051-1,LOT-051-A,NDC-0006-5331-01,28,1,DEPOT-HH,Quarantined,2025-07-04,1507,689,292,43177
SHP-030-3,LOT-030-C,NDC-0006-5332-01,35,2,DEPOT-HH,Delivered,2025-09-18,1622,1205,232,58207
SHP-052-2,LOT-052-B,NDC-0006-5331-01,20,1,DEPOT-NJ,Delivered,2025-07-23,1416,1008,274,29602
SHP-002-2,LOT-002-B,NDC-0006-5333-01,12,3,DEPOT-HH,Delivered,2025-08-08,2203,550,312,27298
SHP-014-3,LOT-014-C,NDC-0006-5331-01,33,1,DEPOT-HH,Quarantined,2025-10-13,1510,978,314,51122
SHP-019-1,LOT-019-A,NDC-0006-5333-01,35,3,DEPOT-NJ,Quarantined,2025-07-29,2312,1114,339,82373
SHP-049-3,LOT-049-C,NDC-0006-5332-01,34,2,DEPOT-NJ,Quarantined,2025-09-27,1701,1343,207,59384
SHP-010-2,LOT-010-B,NDC-0006-5331-01,8,1,DEPOT-TYO,Delivered,2025-08-08,1507,1036,392,13484
SHP-029-1,LOT-029-A,NDC-0006-5332-01,34,2,DEPOT-TYO,Quarantined,2025-07-25,1701,625,139,58598
SHP-030-3,LOT-030-C,NDC-0006-5333-01,29,3,DEPOT-HH,Quarantined,2025-10-08,2203,612,391,64890
SHP-012-1,LOT-012-A,NDC-0006-5331-01,22,1,DEPOT-HH,In Transit,2025-07-17,1510,514,179,33913
SHP-016-3,LOT-016-C,NDC-0006-5333-01,23,3,DEPOT-HH,Quarantined,2025-09-20,2262,1314,375,53715
SHP-007-3,LOT-007-C,NDC-0006-5333-01,24,3,DEPOT-NJ,Quarantined,2025-10-05,2262,995,349,55632
SHP-041-3,LOT-041-C,NDC-0006-5331-01,24,1,DEPOT-NJ,Quarantined,2025-10-11,1416,1029,145,35158
SHP-015-2,LOT-015-B,NDC-0006-5333-01,14,3,DEPOT-NJ,In Transit,2025-08-10,2203,649,353,31844
SHP-052-3,LOT-052-C,NDC-0006-5333-01,28,3,DEPOT-NJ,Delivered,2025-09-11,2262,1286,367,64989
SHP-007-2,LOT-007-B,NDC-0006-5333-01,13,3,DEPOT-NJ,Delivered,2025-08-06,2262,847,349,30602
SHP-046-3,LOT-046-C,NDC-0006-5331-01,27,1,DEPOT-HH,In Transit,2025-09-17,1507,502,273,41464
SHP-058-2,LOT-058-B,NDC-0006-5331-01,15,1,DEPOT-HH,In Transit,2025-08-10,1416,1499,163,22902
SHP-007-3,LOT-007-C,NDC-0006-5332-01,23,2,DEPOT-NJ,Quarantined,2025-10-05,1814,1181,216,43119
SHP-007-2,LOT-007-B,NDC-0006-5332-01,15,2,DEPOT-NJ,Delivered,2025-08-08,1814,1200,315,28725
SHP-026-3,LOT-026-C,NDC-0006-5332-01,17,2,DEPOT-HH,Quarantined,2025-09-30,1701,1295,350,30562
SHP-048-1,LOT-048-A,NDC-0006-5331-01,26,1,DEPOT-NJ,Quarantined,2025-07-20,1416,1012,330,38158
SHP-027-3,LOT-027-C,NDC-0006-5332-01,25,2,DEPOT-HH,Delivered,2025-10-04,1622,1243,253,42046
SHP-035-1,LOT-035-A,NDC-0006-5331-01,23,1,DEPOT-HH,Delivered,2025-07-15,1510,1203,398,36331
SHP-041-3,LOT-041-C,NDC-0006-5331-01,24,1,DEPOT-NJ,Delivered,2025-10-05,1510,649,302,37191
SHP-050-1,LOT-050-A,NDC-0006-5331-01,33,1,DEPOT-HH,Quarantined,2025-07-17,1510,1104,361,51295
SHP-036-2,LOT-036-B,NDC-0006-5333-01,12,3,DEPOT-HH,Delivered,2025-07-26,2203,1378,163,27977
SHP-032-2,LOT-032-B,NDC-0006-5333-01,21,3,DEPOT-HH,Delivered,2025-07-21,2203,614,321,47198
SHP-033-3,LOT-033-C,NDC-0006-5332-01,25,2,DEPOT-TYO,Quarantined,2025-09-29,1701,1104,277,43906
SHP-043-1,LOT-043-A,NDC-0006-5332-01,35,2,DEPOT-HH,Delivered,2025-07-02,1622,1317,319,58406
SHP-007-1,LOT-007-A,NDC-0006-5332-01,30,2,DEPOT-NJ,Quarantined,2025-07-18,1814,1222,249,55891
SHP-040-2,LOT-040-B,NDC-0006-5331-01,17,1,DEPOT-HH,Delivered,2025-08-13,1507,962,209,26790
SHP-028-2,LOT-028-B,NDC-0006-5332-01,13,2,DEPOT-TYO,Delivered,2025-07-17,1701,687,297,23097
SHP-060-2,LOT-060-B,NDC-0006-5332-01,12,2,DEPOT-NJ,In Transit,2025-08-17,1701,927,123,21462
SHP-007-1,LOT-007-A,NDC-0006-5331-01,35,1,DEPOT-NJ,Quarantined,2025-07-18,1507,1390,230,54365
SHP-056-2,LOT-056-B,NDC-0006-5333-01,16,3,DEPOT-TYO,Delivered,2025-08-12,2203,742,101,36091
SHP-001-3,LOT-001-C,NDC-0006-5332-01,31,2,DEPOT-HH,Quarantined,2025-09-30,1814,657,266,57157
SHP-047-3,LOT-047-C,NDC-0006-5333-01,32,3,DEPOT-TYO,Quarantined,2025-09-27,2203,1411,389,72296
SHP-036-3,LOT-036-C,NDC-0006-5331-01,31,1,DEPOT-HH,Quarantined,2025-09-23,1507,750,214,47681
SHP-008-2,LOT-008-B,NDC-0006-5331-01,11,1,DEPOT-NJ,Quarantined,2025-07-29,1416,1390,181,17147
SHP-048-1,LOT-048-A,NDC-0006-5331-01,26,1,DEPOT-NJ,Quarantined,2025-07-18,1416,871,246,37933
SHP-017-2,LOT-017-B,NDC-0006-5332-01,16,2,DEPOT-HH,Quarantined,2025-07-31,1622,1069,139,27160
SHP-048-2,LOT-048-B,NDC-0006-5332-01,17,2,DEPOT-NJ,Quarantined,2025-07-31,1622,1387,153,29114
SHP-055-1,LOT-055-A,NDC-0006-5331-01,38,1,DEPOT-HH,Quarantined,2025-07-09,1510,1171,335,58886
SHP-017-1,LOT-017-A,NDC-0006-5332-01,37,2,DEPOT-HH,Delivered,2025-07-10,1814,651,108,67877
SHP-060-3,LOT-060-C,NDC-0006-5332-01,27,2,DEPOT-NJ,Delivered,2025-09-15,1701,1475,236,47638
SHP-005-1,LOT-005-A,NDC-0006-5332-01,41,2,DEPOT-NJ,Quarantined,2025-07-27,1814,604,150,75128
SHP-060-2,LOT-060-B,NDC-0006-5331-01,14,1,DEPOT-NJ,Quarantined,2025-08-10,1510,1043,255,22438
SHP-038-1,LOT-038-A,NDC-0006-5331-01,19,1,DEPOT-NJ,Quarantined,2025-07-13,1507,916,122,29671
SHP-058-3,LOT-058-C,NDC-0006-5331-01,35,1,DEPOT-HH,Quarantined,2025-10-06,1510,1030,382,54262
SHP-028-3,LOT-028-C,NDC-0006-5333-01,36,3,DEPOT-TYO,Delivered,2025-09-17,2312,672,140,84044
SHP-028-2,LOT-028-B,NDC-0006-5333-01,16,3,DEPOT-TYO,Delivered,2025-08-01,2312,928,239,38159
SHP-012-1,LOT-012-A,NDC-0006-5331-01,22,1,DEPOT-HH,In Transit,2025-07-17,1507,1099,238,34491
SHP-031-2,LOT-031-B,NDC-0006-5331-01,16,1,DEPOT-BLR,In Transit,2025-08-12,1510,552,191,24903
SHP-045-2,LOT-045-B,NDC-0006-5333-01,15,3,DEPOT-HH,Delivered,2025-07-14,2262,875,164,34969
SHP-026-3,LOT-026-C,NDC-0006-5332-01,17,2,DEPOT-HH,Quarantined,2025-10-14,1701,552,104,29573
SHP-024-1,LOT-024-A,NDC-0006-5333-01,33,3,DEPOT-HH,Quarantined,2025-07-16,2203,563,186,73448
SHP-055-3,LOT-055-C,NDC-0006-5333-01,20,3,DEPOT-HH,Quarantined,2025-09-29,2312,700,188,47128
SHP-032-1,LOT-032-A,NDC-0006-5332-01,28,2,DEPOT-HH,Quarantined,2025-07-18,1814,846,353,51991
SHP-033-1,LOT-033-A,NDC-0006-5333-01,33,3,DEPOT-TYO,Delivered,2025-07-14,2262,555,125,75326
SHP-001-2,LOT-001-B,NDC-0006-5331-01,13,1,DEPOT-HH,Delivered,2025-07-19,1510,947,370,20947
SHP-002-2,LOT-002-B,NDC-0006-5332-01,16,2,DEPOT-HH,Delivered,2025-08-08,1622,673,371,26996
SHP-056-2,LOT-056-B,NDC-0006-5331-01,8,1,DEPOT-TYO,Delivered,2025-08-12,1510,762,187,13029
SHP-033-1,LOT-033-A,NDC-0006-5331-01,32,1,DEPOT-TYO,Delivered,2025-07-14,1507,1145,367,49736
SHP-040-3,LOT-040-C,NDC-0006-5333-01,26,3,DEPOT-HH,Quarantined,2025-09-30,2262,1203,250,60265
SHP-005-2,LOT-005-B,NDC-0006-5333-01,15,3,DEPOT-NJ,Delivered,2025-08-08,2262,563,102,34595
SHP-047-1,LOT-047-A,NDC-0006-5332-01,30,2,DEPOT-TYO,Delivered,2025-08-02,1814,1298,290,56008
SHP-024-3,LOT-024-C,NDC-0006-5331-01,35,1,DEPOT-HH,In Transit,2025-09-15,1507,1018,140,53903
SHP-014-3,LOT-014-C,NDC-0006-5332-01,34,2,DEPOT-HH,Quarantined,2025-10-13,1701,1161,131,59126
SHP-033-1,LOT-033-A,NDC-0006-5333-01,33,3,DEPOT-TYO,Quarantined,2025-07-01,2203,697,381,73777
SHP-055-1,LOT-055-A,NDC-0006-5332-01,27,2,DEPOT-HH,Quarantined,2025-07-09,1814,1118,228,50324
SHP-029-1,LOT-029-A,NDC-0006-5331-01,32,1,DEPOT-TYO,Quarantined,2025-07-09,1510,1240,358,49918
SHP-016-3,LOT-016-C,NDC-0006-5331-01,34,1,DEPOT-HH,In Transit,2025-09-29,1507,834,303,52375
SHP-029-2,LOT-029-B,NDC-0006-5331-01,8,1,DEPOT-TYO,Delivered,2025-07-27,1510,1011,251,13342
SHP-013-1,LOT-013-A,NDC-0006-5333-01,34,3,DEPOT-BLR,Quarantined,2025-06-30,2262,1439,333,78680
SHP-030-3,LOT-030-C,NDC-0006-5333-01,29,3,DEPOT-HH,In Transit,2025-10-03,2312,1238,291,68577
SHP-044-1,LOT-044-A,NDC-0006-5333-01,19,3,DEPOT-NJ,Delivered,2025-07-03,2262,1360,132,44470
SHP-059-2,LOT-059-B,NDC-0006-5331-01,19,1,DEPOT-HH,Quarantined,2025-08-10,1510,940,107,29737
SHP-055-2,LOT-055-B,NDC-0006-5333-01,13,3,DEPOT-HH,Delivered,2025-07-27,2203,707,189,29535
SHP-025-3,LOT-025-C,NDC-0006-5333-01,28,3,DEPOT-HH,Quarantined,2025-09-16,2312,530,397,65663
SHP-046-2,LOT-046-B,NDC-0006-5332-01,12,2,DEPOT-HH,Quarantined,2025-08-06,1701,961,147,21520
SHP-010-2,LOT-010-B,NDC-0006-5333-01,16,3,DEPOT-TYO,Quarantined,2025-08-17,2262,831,122,37145
SHP-018-3,LOT-018-C,NDC-0006-5333-01,22,3,DEPOT-TYO,Delivered,2025-09-07,2262,854,204,50822
SHP-055-2,LOT-055-B,NDC-0006-5332-01,22,2,DEPOT-HH,Quarantined,2025-08-09,1814,692,226,40826
SHP-003-1,LOT-003-A,NDC-0006-5333-01,22,3,DEPOT-BLR,Quarantined,2025-07-20,2312,503,327,51694
SHP-038-1,LOT-038-A,NDC-0006-5332-01,40,2,DEPOT-NJ,Quarantined,2025-07-29,1814,1287,154,74001
SHP-007-3,LOT-007-C,NDC-0006-5332-01,23,2,DEPOT-NJ,Quarantined,2025-10-05,1701,689,345,40157
SHP-014-2,LOT-014-B,NDC-0006-5332-01,20,2,DEPOT-HH,Quarantined,2025-08-12,1622,1252,173,33865
SHP-030-3,LOT-030-C,NDC-0006-5331-01,21,1,DEPOT-HH,In Transit,2025-10-03,1507,944,252,32843
SHP-025-2,LOT-025-B,NDC-0006-5333-01,17,3,DEPOT-HH,Delivered,2025-07-31,2312,598,332,40234
SHP-004-1,LOT-004-A,NDC-0006-5332-01,35,2,DEPOT-HH,Quarantined,2025-07-24,1701,564,124,60223
SHP-030-1,LOT-030-A,NDC-0006-5333-01,33,3,DEPOT-HH,Delivered,2025-07-31,2262,545,271,75462
SHP-014-2,LOT-014-B,NDC-0006-5331-01,17,1,DEPOT-HH,Delivered,2025-07-30,1507,574,152,26345
SHP-026-2,LOT-026-B,NDC-0006-5333-01,22,3,DEPOT-HH,In Transit,2025-08-11,2262,1029,159,50952
SHP-025-1,LOT-025-A,NDC-0006-5332-01,23,2,DEPOT-HH,Delivered,2025-07-11,1701,1200,140,40463
SHP-032-2,LOT-032-B,NDC-0006-5331-01,12,1,DEPOT-HH,Delivered,2025-08-04,1416,721,185,17898
SHP-048-2,LOT-048-B,NDC-0006-5332-01,17,2,DEPOT-NJ,Quarantined,2025-08-04,1814,860,257,31955
SHP-004-2,LOT-004-B,NDC-0006-5332-01,18,2,DEPOT-HH,Delivered,2025-08-07,1622,530,273,29999
SHP-040-3,LOT-040-C,NDC-0006-5333-01,26,3,DEPOT-HH,Quarantined,2025-10-12,2312,1110,262,61484
SHP-010-3,LOT-010-C,NDC-0006-5331-01,20,1,DEPOT-TYO,Quarantined,2025-10-05,1510,870,374,31444
SHP-007-1,LOT-007-A,NDC-0006-5331-01,35,1,DEPOT-NJ,Quarantined,2025-07-18,1510,1144,112,54106
SHP-012-3,LOT-012-C,NDC-0006-5332-01,16,2,DEPOT-HH,Delivered,2025-08-23,1701,761,146,28123
SHP-029-1,LOT-029-A,NDC-0006-5333-01,30,3,DEPOT-TYO,Quarantined,2025-07-09,2262,1030,291,69181
SHP-004-3,LOT-004-C,NDC-0006-5333-01,32,3,DEPOT-HH,Delivered,2025-09-26,2203,816,256,71568
SHP-041-3,LOT-041-C,NDC-0006-5332-01,23,2,DEPOT-NJ,Quarantined,2025-09-18,1814,1023,183,42928
SHP-001-2,LOT-001-B,NDC-0006-5331-01,13,1,DEPOT-HH,Delivered,2025-08-03,1507,848,295,20734
SHP-040-1,LOT-040-A,NDC-0006-5332-01,27,2,DEPOT-HH,Quarantined,2025-07-23,1622,1392,172,45358
SHP-054-1,LOT-054-A,NDC-0006-5331-01,39,1,DEPOT-NJ,Quarantined,2025-07-26,1510,1119,136,60145
SHP-058-3,LOT-058-C,NDC-0006-5332-01,26,2,DEPOT-HH,In Transit,2025-09-28,1701,1199,245,45670
SHP-038-3,LOT-038-C,NDC-0006-5332-01,29,2,DEPOT-NJ,Delivered,2025-10-06,1701,1447,227,51003
SHP-006-3,LOT-006-C,NDC-0006-5331-01,24,1,DEPOT-HH,Delivered,2025-09-21,1510,734,393,37367
SHP-049-2,LOT-049-B,NDC-0006-5332-01,14,2,DEPOT-NJ,In Transit,2025-08-04,1701,1001,180,24995
SHP-054-2,LOT-054-B,NDC-0006-5333-01,17,3,DEPOT-NJ,Delivered,2025-08-16,2262,1296,238,39988
SHP-002-2,LOT-002-B,NDC-0006-5332-01,16,2,DEPOT-HH,Delivered,2025-08-08,1814,707,286,30017
SHP-049-1,LOT-049-A,NDC-0006-5332-01,38,2,DEPOT-NJ,In Transit,2025-07-13,1622,655,269,62560
SHP-035-3,LOT-035-C,NDC-0006-5333-01,30,3,DEPOT-HH,Delivered,2025-09-17,2203,814,358,67262
SHP-042-1,LOT-042-A,NDC-0006-5333-01,30,3,DEPOT-NJ,Quarantined,2025-07-22,2262,588,115,68563
SHP-019-3,LOT-019-C,NDC-0006-5331-01,28,1,DEPOT-NJ,In Transit,2025-09-25,1416,744,219,40611
SHP-036-2,LOT-036-B,NDC-0006-5333-01,12,3,DEPOT-HH,Quarantined,2025-07-31,2262,694,377,28215
SHP-059-2,LOT-059-B,NDC-0006-5332-01,9,2,DEPOT-HH,Quarantined,2025-08-10,1701,755,244,16308
SHP-044-1,LOT-044-A,NDC-0006-5331-01,38,1,DEPOT-NJ,Delivered,2025-07-03,1416,805,226,54839
SHP-045-1,LOT-045-A,NDC-0006-5332-01,36,2,DEPOT-HH,In Transit,2025-07-13,1814,1487,350,67141
SHP-046-3,LOT-046-C,NDC-0006-5331-01,27,1,DEPOT-HH,Quarantined,2025-10-08,1510,520,372,41662
SHP-027-3,LOT-027-C,NDC-0006-5332-01,25,2,DEPOT-HH,Quarantined,2025-09-26,1701,913,274,43712
SHP-018-2,LOT-018-B,NDC-0006-5331-01,17,1,DEPOT-TYO,Delivered,2025-08-07,1507,690,219,26528
SHP-024-3,LOT-024-C,NDC-0006-5331-01,35,1,DEPOT-HH,Delivered,2025-09-25,1416,581,266,50407
SHP-030-3,LOT-030-C,NDC-0006-5331-01,21,1,DEPOT-HH,In Transit,2025-10-03,1510,609,177,32496
SHP-027-1,LOT-027-A,NDC-0006-5333-01,29,3,DEPOT-HH,Quarantined,2025-07-07,2312,790,253,68091
SHP-014-1,LOT-014-A,NDC-0006-5333-01,36,3,DEPOT-HH,Delivered,2025-07-31,2203,897,338,80543
SHP-031-3,LOT-031-C,NDC-0006-5331-01,30,1,DEPOT-BLR,Quarantined,2025-10-03,1510,756,324,46380
SHP-028-1,LOT-028-A,NDC-0006-5331-01,29,1,DEPOT-TYO,Quarantined,2025-07-20,1507,1384,128,45215
SHP-048-2,LOT-048-B,NDC-0006-5331-01,13,1,DEPOT-NJ,Quarantined,2025-07-05,1507,1256,106,20953
SHP-052-1,LOT-052-A,NDC-0006-5332-01,25,2,DEPOT-NJ,Delivered,2025-07-21,1622,1275,154,41979
SHP-012-2,LOT-012-B,NDC-0006-5333-01,6,3,DEPOT-HH,Delivered,2025-07-03,2312,522,286,14680
SHP-005-3,LOT-005-C,NDC-0006-5331-01,27,1,DEPOT-NJ,Delivered,2025-09-30,1416,834,309,39375
SHP-047-2,LOT-047-B,NDC-0006-5331-01,11,1,DEPOT-TYO,Delivered,2025-07-11,1507,1466,313,18356
SHP-046-1,LOT-046-A,NDC-0006-5332-01,32,2,DEPOT-HH,Quarantined,2025-06-27,1814,1346,391,59785
SHP-056-2,LOT-056-B,NDC-0006-5331-01,8,1,DEPOT-TYO,Delivered,2025-08-17,1416,1148,237,12713
SHP-018-2,LOT-018-B,NDC-0006-5332-01,13,2,DEPOT-TYO,Delivered,2025-08-07,1814,1133,167,24882
SHP-044-1,LOT-044-A,NDC-0006-5333-01,19,3,DEPOT-NJ,In Transit,2025-07-13,2262,1481,173,44632
SHP-044-1,LOT-044-A,NDC-0006-5332-01,31,2,DEPOT-NJ,Delivered,2025-07-13,1701,817,185,53733
SHP-014-2,LOT-014-B,NDC-0006-5332-01,20,2,DEPOT-HH,Delivered,2025-07-30,1814,1161,151,37592
SHP-034-3,LOT-034-C,NDC-0006-5333-01,33,3,DEPOT-HH,Quarantined,2025-09-07,2203,1460,398,74557
SHP-011-1,LOT-011-A,NDC-0006-5333-01,23,3,DEPOT-NJ,In Transit,2025-07-09,2262,1040,165,53231
SHP-057-3,LOT-057-C,NDC-0006-5331-01,19,1,DEPOT-HH,Quarantined,2025-10-09,1416,893,154,27951
SHP-053-1,LOT-053-A,NDC-0006-5332-01,29,2,DEPOT-HH,Delivered,2025-07-14,1701,1295,156,50780
SHP-017-1,LOT-017-A,NDC-0006-5333-01,20,3,DEPOT-HH,Quarantined,2025-07-07,2262,949,351,46540
SHP-043-2,LOT-043-B,NDC-0006-5333-01,15,3,DEPOT-HH,Delivered,2025-08-07,2262,1156,254,35340
SHP-060-1,LOT-060-A,NDC-0006-5333-01,30,3,DEPOT-NJ,Delivered,2025-07-29,2312,1118,354,70832
SHP-055-3,LOT-055-C,NDC-0006-5331-01,35,1,DEPOT-HH,Quarantined,2025-09-29,1510,702,291,53843
SHP-049-1,LOT-049-A,NDC-0006-5333-01,31,3,DEPOT-NJ,Quarantined,2025-07-07,2203,1103,312,69708
SHP-045-1,LOT-045-A,NDC-0006-5331-01,28,1,DEPOT-HH,Quarantined,2025-07-04,1416,1249,228,41125
SHP-029-1,LOT-029-A,NDC-0006-5333-01,30,3,DEPOT-TYO,Quarantined,2025-07-25,2262,507,315,68682
SHP-034-1,LOT-034-A,NDC-0006-5331-01,34,1,DEPOT-HH,Quarantined,2025-06-15,1507,549,325,52112
SHP-011-1,LOT-011-A,NDC-0006-5333-01,23,3,DEPOT-NJ,Delivered,2025-07-28,2262,1108,337,53471
SHP-046-2,LOT-046-B,NDC-0006-5333-01,19,3,DEPOT-HH,Quarantined,2025-08-08,2262,1097,277,44352
SHP-039-2,LOT-039-B,NDC-0006-5332-01,18,2,DEPOT-NJ,Delivered,2025-08-15,1814,675,160,33487
SHP-054-3,LOT-054-C,NDC-0006-5331-01,26,1,DEPOT-NJ,Delivered,2025-09-20,1416,1450,293,38559
SHP-005-2,LOT-005-B,NDC-0006-5333-01,15,3,DEPOT-NJ,Delivered,2025-07-17,2262,658,195,34783
SHP-023-3,LOT-023-C,NDC-0006-5331-01,30,1,DEPOT-HH,Quarantined,2025-09-13,1507,779,180,46169
SHP-058-1,LOT-058-A,NDC-0006-5332-01,21,2,DEPOT-HH,Quarantined,2025-07-18,1814,1388,234,39716
